shipping_id,order_id,shipping_date,shipping_method,shipping_status
432,3742,2024-08-24,Same-day,Shipped
433,936,2024-08-08,Express,Pending
434,3553,2023-09-06,Same-day,Delivered
435,1978,2024-08-13,Standard,Shipped
436,2204,2024-01-16,Standard,Delivered
437,4593,2024-05-17,Standard,Lost
438,2992,2024-11-10,Standard,Delivered
439,226,2024-01-28,Express,Shipped
440,4368,2024-07-11,Same-day,Lost
441,4970,2024-04-30,Express,Shipped
442,2627,2024-01-06,Standard,Delivered
443,854,2024-06-30,Same-day,Lost
444,1478,2025-01-28,Same-day,Pending
445,1776,2025-07-10,Standard,Shipped
446,3759,2024-01-25,Standard,Delivered
447,53,2024-02-22,Same-day,Pending
448,4335,2023-11-15,Express,Delivered
449,3042,2023-08-11,Same-day,Pending
450,663,2023-09-07,Same-day,Pending
451,903,2025-07-08,Standard,Shipped
452,4786,2024-08-31,Same-day,Shipped
453,660,2023-08-14,Express,Shipped
454,2170,2025-07-03,Same-day,Delivered
455,2490,2024-12-05,Same-day,Pending
456,2964,2023-12-22,Standard,Delivered
457,2127,2023-09-08,Standard,Shipped
458,2977,2025-06-29,Standard,Delivered
459,3444,2024-10-05,Standard,Shipped
460,4961,2024-01-02,Same-day,Delivered
461,3872,2024-03-17,Express,Shipped
462,1162,2023-10-12,Express,Shipped
463,3240,2025-07-18,Standard,Pending
464,2820,2024-05-28,Express,Delivered
465,2773,2024-01-05,Same-day,Lost
466,3191,2025-04-24,Express,Pending
467,942,2025-02-23,Same-day,Shipped
468,4916,2024-06-30,Standard,Delivered
469,1525,2025-02-24,Standard,Pending
470,3716,2024-08-04,Express,Lost
471,3505,2023-09-06,Express,Delivered
472,4084,2024-01-23,Express,Pending
473,642,2024-08-14,Same-day,Shipped
474,1936,2023-10-13,Standard,Shipped
475,3598,2023-10-31,Same-day,Pending
476,3655,2024-11-01,Same-day,Shipped
477,953,2025-01-08,Express,Shipped
478,4105,2025-07-08,Same-day,Lost
479,4100,2024-03-25,Standard,Delivered
480,3402,2023-07-22,Same-day,Shipped
481,1159,2023-11-03,Same-day,Pending
482,3487,2024-05-01,Standard,Shipped
483,1971,2025-06-28,Standard,Delivered
484,4790,2025-06-28,Express,Delivered
485,2904,2023-12-01,Express,Lost
486,3284,2025-05-15,Same-day,Lost
487,873,2025-03-15,Express,Lost
488,1102,2024-01-12,Same-day,Delivered
489,3291,2024-07-12,Same-day,Delivered
490,3127,2024-12-14,Same-day,Shipped
491,3610,2023-11-15,Express,Pending
492,4456,2025-03-22,Express,Lost
493,1793,2023-09-13,Express,Pending
494,207,2025-06-19,Express,Shipped
495,3050,2023-12-15,Standard,Pending
496,2978,2025-04-25,Express,Lost
497,4051,2024-09-28,Standard,Lost
498,1700,2024-11-17,Same-day,Delivered
499,3759,2023-10-21,Standard,Shipped
500,807,2025-04-25,Express,Lost
501,1603,2023-09-05,Standard,Delivered
502,4461,2023-08-29,Express,Delivered
503,4299,2024-10-11,Same-day,Shipped
504,3915,2023-12-16,Same-day,Delivered
505,2347,2023-12-12,Express,Pending
506,382,2025-04-28,Same-day,Pending
507,1359,2024-12-16,Express,Shipped
508,1146,2025-04-15,Standard,Shipped
509,1782,2024-03-20,Standard,Shipped
510,2365,2023-09-19,Express,Shipped
511,3120,2024-10-22,Express,Pending
512,564,2024-04-04,Standard,Shipped
513,2474,2025-01-03,Express,Delivered
514,2435,2024-10-14,Standard,Pending
515,3203,2024-05-22,Express,Pending
516,3124,2024-10-07,Express,Shipped
517,1442,2024-09-03,Same-day,Delivered
518,4049,2024-09-05,Standard,Lost
519,3476,2023-08-16,Express,Pending
520,1678,2024-02-08,Express,Pending
521,1790,2024-03-25,Standard,Delivered
522,7,2024-05-09,Same-day,Pending
523,2432,2023-12-08,Standard,Delivered
524,905,2024-11-02,Express,Shipped
525,587,2023-12-31,Express,Pending
526,3745,2023-09-11,Express,Pending
527,3409,2025-04-09,Same-day,Delivered
528,793,2024-02-14,Same-day,Lost
529,2443,2025-03-09,Same-day,Pending
530,1427,2024-07-03,Same-day,Lost
531,838,2025-03-30,Same-day,Lost
532,3069,2024-11-14,Express,Shipped
533,1521,2024-04-07,Same-day,Pending
534,2421,2024-07-05,Same-day,Pending
535,4190,2025-02-22,Same-day,Shipped
536,1858,2024-03-25,Express,Pending
537,924,2024-12-28,Express,Delivered
538,4924,2024-04-21,Express,Pending
539,3251,2024-04-28,Express,Delivered
540,4358,2025-07-08,Express,Pending
541,3453,2024-03-15,Express,Pending
542,1698,2023-12-25,Same-day,Lost
543,3406,2023-12-23,Express,Lost
544,2146,2024-10-08,Express,Shipped
545,3926,2023-08-28,Express,Lost
546,223,2023-09-19,Standard,Lost
547,2051,2024-04-30,Standard,Lost
548,3181,2023-12-06,Express,Shipped
549,2566,2025-03-05,Standard,Delivered
550,3090,2025-04-05,Standard,Pending
551,4413,2024-02-16,Same-day,Pending
552,4632,2023-12-30,Standard,Lost
553,3175,2024-11-02,Same-day,Lost
554,4860,2023-11-29,Same-day,Lost
555,4183,2024-11-21,Same-day,Lost
556,3958,2023-11-05,Standard,Delivered
557,179,2025-04-20,Express,Shipped
558,1774,2024-02-22,Standard,Lost
559,3092,2024-08-31,Same-day,Lost
560,4516,2023-10-02,Express,Pending
561,4578,2024-06-18,Same-day,Shipped
562,1896,2023-07-22,Express,Shipped
563,25,2023-11-25,Standard,Lost
564,232,2023-11-29,Same-day,Delivered
565,2280,2025-06-10,Express,Pending
566,4435,2024-05-28,Express,Delivered
567,1802,2025-03-09,Same-day,Shipped
568,3985,2024-08-24,Standard,Shipped
569,4943,2025-06-02,Same-day,Pending
570,1867,2025-05-10,Same-day,Pending
571,3290,2023-08-28,Standard,Shipped
572,1860,2024-09-03,Express,Delivered
573,646,2024-08-24,Express,Shipped
574,2823,2024-11-07,Standard,Shipped
575,4724,2024-04-24,Same-day,Lost
576,1484,2024-07-23,Same-day,Pending
577,1188,2024-04-12,Standard,Delivered
578,4865,2023-07-31,Standard,Lost
579,931,2023-09-15,Standard,Pending
580,1374,2025-04-14,Express,Delivered
581,3954,2023-11-13,Same-day,Delivered
582,473,2025-06-22,Express,Pending
583,3141,2024-06-02,Express,Lost
584,2702,2024-04-01,Express,Delivered
585,4902,2024-07-29,Same-day,Delivered
586,1828,2023-08-05,Standard,Shipped
587,2296,2024-12-25,Express,Lost
588,528,2024-12-25,Same-day,Pending
589,358,2025-04-13,Same-day,Pending
590,2165,2024-04-12,Express,Lost
591,409,2023-12-08,Express,Lost
592,3090,2023-07-24,Standard,Pending
593,1190,2024-09-05,Standard,Delivered
594,4744,2025-05-16,Express,Pending
595,772,2025-06-22,Express,Pending
596,672,2024-03-17,Same-day,Shipped
597,4451,2025-04-01,Express,Pending
598,3701,2023-10-01,Standard,Pending
599,1396,2025-05-01,Same-day,Lost
600,1051,2023-11-20,Standard,Pending
601,4208,2023-10-29,Same-day,Pending
602,1286,2025-03-10,Standard,Lost
603,2301,2025-07-01,Standard,Lost
604,3931,2025-01-25,Express,Shipped
605,1017,2025-01-21,Standard,Lost
606,4249,2023-10-28,Same-day,Shipped
607,1578,2023-12-19,Express,Delivered
608,168,2024-10-17,Express,Pending
609,717,2024-06-22,Same-day,Pending
610,4395,2024-09-29,Express,Delivered
611,936,2024-01-23,Same-day,Lost
612,3657,2024-05-19,Standard,Pending
613,4780,2024-08-23,Express,Shipped
614,3281,2023-10-07,Standard,Delivered
615,438,2025-06-23,Standard,Pending
616,3936,2024-02-02,Express,Shipped
617,2742,2024-10-18,Standard,Shipped
618,3672,2025-05-03,Standard,Lost
619,4308,2025-05-09,Same-day,Pending
620,4266,2023-09-05,Standard,Shipped
621,2065,2025-05-01,Express,Pending
622,4724,2023-08-29,Same-day,Delivered
623,3909,2025-03-09,Express,Pending
624,2334,2024-10-19,Standard,Delivered
625,4765,2025-01-14,Standard,Lost
626,3677,2024-09-16,Standard,Shipped
627,4918,2024-03-28,Standard,Delivered
628,466,2024-06-11,Express,Shipped
629,2587,2024-04-06,Same-day,Lost
630,1321,2023-10-27,Standard,Shipped
631,1105,2024-05-26,Same-day,Lost
632,873,2025-07-12,Same-day,Lost
633,4017,2023-08-12,Express,Delivered
634,1018,2025-05-29,Standard,Shipped
635,905,2024-10-13,Same-day,Delivered
636,2287,2024-01-06,Express,Delivered
637,4476,2023-11-26,Same-day,Lost
638,3353,2023-11-26,Same-day,Pending
639,2751,2025-01-04,Standard,Delivered
640,3421,2023-08-26,Express,Lost
641,2916,2024-12-09,Express,Lost
642,4234,2023-08-06,Express,Lost
643,778,2025-04-02,Express,Lost
644,4530,2023-08-31,Express,Pending
645,4379,2024-02-14,Standard,Shipped
646,836,2024-12-30,Standard,Pending
647,78,2024-08-19,Standard,Shipped
648,3545,2023-12-01,Standard,Delivered
649,631,2024-04-05,Same-day,Delivered
650,4035,2025-01-13,Standard,Shipped
651,1731,2024-04-05,Standard,Delivered
652,2568,2024-03-25,Same-day,Delivered
653,3330,2023-10-19,Same-day,Delivered
654,1993,2024-04-20,Standard,Delivered
655,776,2025-02-10,Express,Pending
656,3342,2024-09-04,Same-day,Pending
657,1640,2023-11-24,Standard,Delivered
658,772,2024-03-16,Same-day,Delivered
659,1378,2024-12-17,Express,Delivered
660,4886,2024-02-12,Same-day,Shipped
661,3777,2025-05-09,Standard,Pending
662,3003,2024-08-30,Express,Pending
663,2887,2023-09-01,Express,Shipped
664,3676,2023-08-04,Standard,Delivered
665,1459,2024-03-26,Express,Shipped
666,3395,2024-12-21,Same-day,Delivered
667,847,2024-10-05,Express,Delivered
668,3429,2025-02-01,Express,Shipped
669,4889,2025-05-04,Same-day,Lost
670,2500,2025-03-19,Same-day,Pending
671,4988,2025-05-23,Express,Delivered
672,3363,2024-07-13,Same-day,Shipped
673,1786,2024-05-31,Express,Shipped
674,3998,2024-12-04,Express,Shipped
675,4593,2024-03-29,Standard,Lost
676,4155,2025-02-19,Express,Lost
677,582,2025-03-23,Express,Delivered
678,727,2025-06-02,Express,Delivered
679,4702,2024-02-19,Same-day,Shipped
680,1731,2025-03-24,Express,Pending
681,4306,2024-06-03,Standard,Lost
682,4834,2024-08-22,Same-day,Pending
683,4758,2025-02-07,Standard,Lost
684,4795,2024-04-27,Standard,Delivered
685,439,2023-11-27,Same-day,Shipped
686,3211,2025-05-08,Same-day,Delivered
687,4346,2023-10-11,Same-day,Shipped
