,order_id,customer_id,product_id,order_date,quantity,total_amount
129,O00130,C01897,P0332,2023-09-25,5,6846.65
130,O00131,C01882,P0297,2024-02-03,5,4298.2
131,O00132,C00290,P0460,2023-05-22,2,2655.96
132,O00133,C00727,P0198,2024-01-12,4,2513.88
133,O00134,C00355,P0427,2024-04-26,1,1967.84
134,O00135,C00930,P0253,2024-10-20,5,1132.2
135,O00136,C00144,P0231,2024-02-08,5,3909.05
136,O00137,C01683,P0157,2024-12-23,3,2477.73
137,O00138,C00973,P0150,2024-01-04,1,1207.54
138,O00139,C00061,P0249,2024-09-17,2,3073.08
139,O00140,C00801,P0108,2023-09-09,5,111.5
140,O00141,C01919,P0475,2023-01-10,2,1929.88
141,O00142,C01371,P0131,2023-08-04,4,1208.88
142,O00143,C00620,P0289,2023-04-19,5,8900.95
143,O00144,C01913,P0188,2023-07-26,1,1582.57
144,O00145,C00997,P0367,2024-06-13,2,1553.58
145,O00146,C00899,P0122,2023-08-02,2,1078.32
146,O00147,C01408,P0390,2023-04-12,2,1735.14
147,O00148,C01652,P0133,2024-10-14,3,646.89
148,O00149,C01319,P0328,2024-04-26,5,9641.9
149,O00150,C00561,P0382,2023-01-05,3,2140.38
150,O00151,C00651,P0096,2024-01-03,2,2156.84
151,O00152,C00776,P0414,2023-10-28,5,7284.5
152,O00153,C01956,P0001,2023-02-07,4,7474.16
153,O00154,C01221,P0119,2023-09-19,5,302.1
154,O00155,C01118,P0463,2023-09-23,2,586.2
155,O00156,C00658,P0446,2023-07-23,4,4067.32
156,O00157,C00040,P0487,2024-11-15,1,1666.94
157,O00158,C00669,P0226,2024-05-23,4,6675.56
158,O00159,C01515,P0311,2023-10-15,5,2271.5
159,O00160,C00137,P0410,2023-10-08,5,1867.3
160,O00161,C01788,P0233,2024-11-29,2,1802.56
161,O00162,C00392,P0173,2024-06-02,1,930.78
162,O00163,C01307,P0297,2023-10-01,4,3438.56
163,O00164,C01256,P0196,2023-01-06,5,5795.75
164,O00165,C00868,P0500,2024-02-26,2,644.8
165,O00166,C00463,P0169,2023-09-15,2,2534.84
166,O00167,C01212,P0142,2024-12-05,5,5407.95
167,O00168,C00166,P0492,2024-03-26,3,363.21
168,O00169,C01513,P0424,2023-07-28,5,5708.9
169,O00170,C01237,P0159,2024-07-08,1,674.29
170,O00171,C00361,P0093,2023-12-02,4,2997.32
171,O00172,C00360,P0247,2023-06-10,4,3300.4
172,O00173,C01875,P0269,2023-09-16,3,3578.04
173,O00174,C00314,P0203,2023-07-16,2,2033.14
174,O00175,C00503,P0403,2024-10-07,5,8720.15
175,O00176,C00324,P0087,2023-02-21,4,1095.56
176,O00177,C01113,P0027,2024-07-15,2,1879.8
177,O00178,C00804,P0177,2023-12-12,1,1241.26
178,O00179,C00242,P0410,2024-05-29,1,373.46
179,O00180,C01039,P0452,2024-06-03,3,4387.23
180,O00181,C00369,P0455,2023-07-12,5,9423.25
181,O00182,C00165,P0045,2024-09-25,4,2489.24
182,O00183,C00987,P0083,2023-02-27,1,1519.05
183,O00184,C01932,P0210,2024-12-22,5,4318.55
184,O00185,C01194,P0080,2023-02-14,3,4799.04
185,O00186,C00001,P0126,2023-02-18,1,1431.12
186,O00187,C01777,P0479,2024-06-08,1,567.29
187,O00188,C00767,P0328,2024-04-25,5,9641.9
188,O00189,C00988,P0195,2024-10-31,2,1874.36
189,O00190,C00495,P0458,2024-03-01,1,629.24
190,O00191,C00704,P0335,2024-09-25,5,6761.95
191,O00192,C00020,P0033,2024-01-01,5,309.55
192,O00193,C01342,P0408,2024-08-04,5,5837.4
193,O00194,C00590,P0395,2023-02-03,4,7034.0
194,O00195,C00635,P0165,2023-02-13,1,1971.77
195,O00196,C00437,P0287,2024-12-08,5,5422.0
196,O00197,C00017,P0221,2023-02-08,4,4821.48
197,O00198,C00709,P0267,2024-09-19,5,8864.15
198,O00199,C00714,P0110,2024-05-11,4,3107.08
199,O00200,C01441,P0452,2023-12-07,2,2924.82
200,O00201,C00455,P0412,2024-04-16,3,387.75
201,O00202,C00588,P0305,2023-07-21,1,1089.74
202,O00203,C00698,P0082,2023-09-01,4,7730.04
203,O00204,C01792,P0380,2024-09-28,4,6884.84
204,O00205,C01945,P0061,2024-05-05,4,6440.6
205,O00206,C00669,P0031,2024-08-04,1,774.18
206,O00207,C00763,P0355,2023-01-27,2,3608.84
207,O00208,C01153,P0359,2024-08-27,1,660.84
208,O00209,C01777,P0487,2023-05-21,1,1666.94
209,O00210,C00757,P0130,2024-01-27,4,5420.6
210,O00211,C00736,P0410,2024-01-16,5,1867.3
211,O00212,C01838,P0118,2023-01-18,2,2247.28
212,O00213,C01881,P0153,2023-11-09,4,3238.92
213,O00214,C00246,P0266,2024-09-22,2,648.74
214,O00215,C00316,P0215,2023-12-22,3,5035.35
215,O00216,C01546,P0268,2023-09-21,3,1893.87
216,O00217,C00114,P0284,2023-07-05,2,704.52
217,O00218,C00782,P0112,2023-02-12,3,4739.19
218,O00219,C01300,P0077,2023-09-09,5,1665.8
219,O00220,C01019,P0332,2024-04-12,3,4107.99
220,O00221,C00897,P0238,2023-03-13,1,1358.99
221,O00222,C00454,P0256,2023-08-13,1,882.48
222,O00223,C00642,P0082,2023-06-15,5,9662.55
223,O00224,C00698,P0037,2023-05-30,3,315.84
224,O00225,C00906,P0210,2023-11-28,4,3454.84
225,O00226,C00068,P0010,2023-03-01,3,2926.59
226,O00227,C01152,P0236,2023-10-14,1,951.74
227,O00228,C00947,P0485,2023-08-23,5,2676.55
228,O00229,C00077,P0118,2024-11-07,3,3370.92
229,O00230,C01993,P0288,2024-10-31,4,5944.08
230,O00231,C00804,P0143,2023-03-13,1,1549.15
231,O00232,C01691,P0214,2024-05-08,3,5177.43
232,O00233,C01628,P0037,2024-09-19,2,210.56
233,O00234,C01702,P0368,2024-10-20,2,276.74
234,O00235,C01291,P0198,2024-06-09,4,2513.88
235,O00236,C00212,P0462,2023-12-01,2,3818.72
236,O00237,C00409,P0310,2024-12-24,1,704.08
237,O00238,C01482,P0181,2024-01-07,3,5805.21
238,O00239,C01730,P0426,2023-04-07,3,5870.46
239,O00240,C00871,P0287,2023-08-10,2,2168.8
240,O00241,C00049,P0203,2023-05-19,5,5082.85
241,O00242,C01156,P0286,2024-03-29,2,2329.28
242,O00243,C00566,P0324,2023-10-05,4,7279.84
243,O00244,C01462,P0090,2024-04-22,4,519.48
244,O00245,C00573,P0213,2023-02-18,1,1528.21
245,O00246,C01388,P0329,2024-03-05,4,5181.48
246,O00247,C00188,P0358,2024-04-24,2,2350.36
247,O00248,C00793,P0163,2023-09-16,5,6535.7
248,O00249,C01794,P0118,2023-03-23,4,4494.56
249,O00250,C00044,P0191,2023-08-29,4,449.52
250,O00251,C00336,P0059,2023-12-22,3,2424.51
251,O00252,C00683,P0009,2023-11-16,4,4988.6
252,O00253,C00660,P0069,2024-02-12,3,3495.69
253,O00254,C00667,P0381,2023-03-25,4,4815.84
254,O00255,C01528,P0479,2023-10-06,4,2269.16
255,O00256,C01303,P0064,2024-09-17,3,1421.4
256,O00257,C01761,P0448,2023-04-20,5,6324.4
257,O00258,C00827,P0485,2024-02-26,3,1605.93
258,O00259,C00726,P0227,2023-03-09,4,1796.44
259,O00260,C00144,P0129,2024-08-01,4,3055.96
260,O00261,C01545,P0324,2023-04-28,2,3639.92
261,O00262,C00999,P0192,2024-04-26,1,942.81
262,O00263,C01911,P0065,2023-09-02,3,4416.72
263,O00264,C00934,P0276,2023-06-22,2,2310.24
264,O00265,C00014,P0257,2024-06-21,3,2834.67
265,O00266,C00097,P0134,2024-04-26,4,6500.68
266,O00267,C00424,P0485,2023-11-25,3,1605.93
267,O00268,C00581,P0305,2023-05-07,5,5448.7
268,O00269,C01910,P0199,2023-03-30,5,6842.55
269,O00270,C00398,P0221,2023-04-09,2,2410.74
270,O00271,C00570,P0281,2024-10-12,5,942.75
271,O00272,C00800,P0370,2023-12-06,5,5000.0
272,O00273,C01546,P0297,2024-08-01,4,3438.56
273,O00274,C00509,P0249,2023-01-01,2,3073.08
274,O00275,C01543,P0341,2024-04-21,4,5335.36
275,O00276,C01276,P0483,2024-08-06,3,2631.54
276,O00277,C00031,P0457,2023-01-14,3,5193.69
277,O00278,C00776,P0330,2023-09-03,3,3725.25
278,O00279,C00007,P0100,2023-03-21,3,2381.43
279,O00280,C00418,P0372,2023-03-28,3,3726.33
280,O00281,C00931,P0150,2023-02-21,5,6037.7
281,O00282,C01589,P0146,2024-12-14,2,3526.4
282,O00283,C00523,P0360,2024-02-17,1,175.53
283,O00284,C00933,P0435,2023-04-08,4,7610.32
284,O00285,C00417,P0217,2024-08-31,5,7301.1
285,O00286,C01890,P0250,2024-07-28,2,1421.64
286,O00287,C00476,P0455,2024-06-22,4,7538.6
287,O00288,C01261,P0472,2024-02-03,1,1409.94
288,O00289,C01189,P0345,2023-03-19,2,2733.54
289,O00290,C00998,P0274,2024-01-12,5,5642.5
290,O00291,C01908,P0320,2024-05-06,1,491.43
291,O00292,C00740,P0262,2024-10-28,1,885.15
292,O00293,C01037,P0385,2023-09-13,3,5774.19
293,O00294,C00097,P0248,2023-01-29,5,6001.6
294,O00295,C01828,P0479,2024-10-31,3,1701.87
295,O00296,C01575,P0019,2024-10-18,3,691.68
296,O00297,C01417,P0209,2023-03-18,3,3212.97
297,O00298,C01409,P0169,2023-12-03,5,6337.1
298,O00299,C01671,P0424,2024-12-12,5,5708.9
299,O00300,C00678,P0446,2024-08-29,3,3050.49
300,O00301,C00462,P0228,2024-09-05,3,953.49
301,O00302,C01660,P0350,2023-03-13,1,758.98
302,O00303,C00703,P0330,2023-01-30,1,1241.75
303,O00304,C00176,P0169,2023-01-18,1,1267.42
304,O00305,C00274,P0491,2023-01-04,5,8011.05
305,O00306,C00969,P0312,2023-09-19,1,1500.97
306,O00307,C01334,P0476,2024-05-26,1,259.13
307,O00308,C01920,P0328,2023-10-29,1,1928.38
308,O00309,C01774,P0357,2024-02-16,2,3410.26
309,O00310,C00323,P0165,2023-09-01,4,7887.08
310,O00311,C01067,P0391,2023-02-01,3,4176.9
311,O00312,C00696,P0101,2024-10-02,2,2212.64
312,O00313,C00512,P0179,2024-06-24,2,3900.08
313,O00314,C01686,P0325,2024-11-14,5,6806.4
314,O00315,C00522,P0212,2023-06-15,4,7064.64
315,O00316,C01967,P0270,2024-11-03,3,1835.13
316,O00317,C01261,P0255,2024-09-05,1,154.4
317,O00318,C00703,P0241,2024-10-01,2,3062.74
318,O00319,C01856,P0393,2024-12-31,2,3239.96
319,O00320,C00780,P0442,2023-10-23,1,1811.22
320,O00321,C01880,P0254,2023-01-23,1,503.61
321,O00322,C01630,P0258,2023-02-06,1,1423.91
322,O00323,C01064,P0353,2024-12-08,3,4394.01
323,O00324,C01927,P0175,2023-01-07,1,364.2
324,O00325,C01849,P0441,2023-10-18,5,6503.55
325,O00326,C00775,P0491,2024-08-30,2,3204.42
326,O00327,C01701,P0287,2024-04-15,4,4337.6
327,O00328,C01620,P0351,2024-03-25,4,1562.56
328,O00329,C01965,P0232,2024-07-24,1,896.07
329,O00330,C00884,P0195,2024-09-30,4,3748.72
330,O00331,C00012,P0187,2024-05-20,1,38.88
331,O00332,C01505,P0355,2024-03-14,2,3608.84
332,O00333,C00552,P0158,2023-10-16,1,1286.8
333,O00334,C01343,P0196,2023-08-30,5,5795.75
334,O00335,C01719,P0218,2023-05-27,2,415.34
335,O00336,C01343,P0252,2024-11-29,2,3914.76
336,O00337,C00282,P0461,2024-09-10,2,2735.3
337,O00338,C01701,P0423,2024-02-23,3,2970.21
338,O00339,C00183,P0342,2023-07-28,1,125.97
339,O00340,C00951,P0352,2024-11-17,5,6134.55
340,O00341,C01188,P0024,2024-09-20,2,2844.14
341,O00342,C00229,P0423,2024-01-28,2,1980.14
342,O00343,C01839,P0094,2023-07-07,3,146.13
343,O00344,C00453,P0130,2024-04-25,1,1355.15
344,O00345,C01538,P0350,2023-07-12,5,3794.9
345,O00346,C01299,P0337,2024-09-23,5,9841.6
346,O00347,C01233,P0394,2023-07-31,1,926.57
347,O00348,C00524,P0153,2024-07-13,2,1619.46
348,O00349,C01842,P0177,2023-02-28,3,3723.78
349,O00350,C01870,P0478,2024-06-09,1,630.56
350,O00351,C01617,P0192,2023-01-04,5,4714.05
351,O00352,C00487,P0281,2023-10-21,1,188.55
352,O00353,C00792,P0485,2023-04-17,1,535.31
353,O00354,C01189,P0336,2024-10-16,3,668.79
354,O00355,C00681,P0189,2023-05-02,4,2564.32
355,O00356,C01160,P0220,2023-05-10,5,6773.5
356,O00357,C00458,P0084,2024-05-22,5,4330.45
357,O00358,C01466,P0271,2023-12-27,4,5450.96
358,O00359,C00421,P0307,2023-06-19,5,9617.2
359,O00360,C01731,P0326,2024-09-24,3,5066.37
360,O00361,C00298,P0284,2024-08-14,2,704.52
361,O00362,C01026,P0261,2023-07-24,5,1018.9
362,O00363,C01757,P0132,2024-09-04,3,3582.66
363,O00364,C01608,P0049,2024-09-26,3,2459.31
364,O00365,C00118,P0265,2024-05-16,2,2432.28
365,O00366,C01207,P0327,2024-12-21,2,1886.0
366,O00367,C01459,P0449,2024-02-18,2,377.92
367,O00368,C00796,P0088,2023-11-24,3,4446.57
368,O00369,C01261,P0102,2024-06-14,1,1079.69
369,O00370,C00625,P0250,2023-06-18,3,2132.46
370,O00371,C01859,P0317,2024-08-11,4,4698.88
371,O00372,C00068,P0267,2023-10-19,1,1772.83
372,O00373,C00146,P0292,2024-03-25,5,6696.75
373,O00374,C01961,P0021,2023-01-17,4,1447.56
374,O00375,C00360,P0162,2024-10-16,3,1253.01
375,O00376,C01784,P0137,2024-03-02,5,7845.95
376,O00377,C01590,P0238,2024-08-16,1,1358.99
377,O00378,C00270,P0457,2023-08-11,2,3462.46
378,O00379,C01973,P0097,2024-07-27,3,1882.23
379,O00380,C00408,P0067,2024-03-18,4,578.88
380,O00381,C01716,P0062,2024-12-14,5,4563.6
381,O00382,C01038,P0450,2023-09-16,2,1971.66
382,O00383,C00331,P0447,2024-03-18,2,1831.54
383,O00384,C00694,P0105,2023-07-06,3,3601.11
384,O00385,C00825,P0235,2024-07-13,2,2595.6
385,O00386,C01122,P0089,2023-05-04,1,611.31
386,O00387,C01940,P0364,2023-05-03,2,1860.68
387,O00388,C01410,P0392,2023-06-21,4,3571.88
388,O00389,C01517,P0029,2023-12-28,1,1065.49
389,O00390,C00703,P0411,2024-04-17,2,1747.9
390,O00391,C00324,P0231,2024-09-20,3,2345.43
391,O00392,C00494,P0203,2024-02-10,4,4066.28
392,O00393,C01382,P0006,2023-12-24,4,3745.44
393,O00394,C00398,P0151,2024-09-26,3,115.29
394,O00395,C01177,P0110,2024-02-20,2,1553.54
395,O00396,C01597,P0351,2024-05-14,4,1562.56
396,O00397,C01278,P0081,2023-06-07,5,8485.9
397,O00398,C00526,P0038,2023-09-21,1,1156.99
398,O00399,C01033,P0235,2023-06-22,5,6489.0
399,O00400,C00411,P0486,2023-07-29,5,1576.25
400,O00401,C01844,P0245,2023-09-22,1,270.43
401,O00402,C01743,P0475,2024-02-27,3,2894.82
402,O00403,C00339,P0364,2023-12-28,5,4651.7
403,O00404,C01920,P0293,2023-12-30,4,430.72
404,O00405,C01449,P0363,2024-02-14,2,1516.22
405,O00406,C01071,P0390,2024-06-30,1,867.57
406,O00407,C01270,P0409,2023-11-22,1,890.11
407,O00408,C00652,P0183,2024-07-12,1,762.15
408,O00409,C00684,P0277,2023-01-05,3,189.48
409,O00410,C00346,P0024,2023-10-08,4,5688.28
410,O00411,C01206,P0068,2024-02-16,3,4900.92
411,O00412,C00748,P0427,2023-03-23,5,9839.2
412,O00413,C00809,P0222,2024-04-08,5,4886.65
413,O00414,C01973,P0092,2023-12-06,5,8156.05
414,O00415,C00721,P0062,2023-08-22,3,2738.16
415,O00416,C01721,P0450,2023-10-18,5,4929.15
416,O00417,C00456,P0402,2024-04-03,2,94.92
417,O00418,C01947,P0149,2023-01-12,5,3968.05
418,O00419,C00592,P0080,2024-08-31,1,1599.68
419,O00420,C00090,P0006,2023-01-26,3,2809.08
420,O00421,C01918,P0261,2024-09-14,5,1018.9
421,O00422,C00649,P0013,2023-02-17,4,1539.96
422,O00423,C01783,P0064,2024-11-05,5,2369.0
423,O00424,C00713,P0401,2023-03-02,1,392.57
424,O00425,C01869,P0295,2023-02-10,1,1938.35
425,O00426,C01355,P0380,2023-07-03,4,6884.84
426,O00427,C00960,P0034,2023-01-10,3,5531.52
427,O00428,C00015,P0469,2024-02-02,2,197.2
428,O00429,C01802,P0207,2023-02-04,5,1152.05
429,O00430,C00508,P0195,2023-09-10,5,4685.9
430,O00431,C01285,P0059,2024-08-16,3,2424.51
431,O00432,C00268,P0144,2023-12-15,1,769.93
432,O00433,C00818,P0108,2023-07-22,2,44.6
433,O00434,C01084,P0025,2023-07-16,2,977.34
434,O00435,C00313,P0411,2024-09-11,1,873.95
435,O00436,C00830,P0457,2024-05-10,5,8656.15
436,O00437,C00043,P0224,2024-04-09,2,2306.34
437,O00438,C00323,P0097,2023-11-23,4,2509.64
438,O00439,C00381,P0297,2023-05-29,4,3438.56
439,O00440,C00764,P0085,2023-11-15,1,1863.08
440,O00441,C01976,P0395,2024-06-04,1,1758.5
441,O00442,C01640,P0482,2024-10-04,5,8379.3
442,O00443,C00566,P0368,2024-04-06,4,553.48
443,O00444,C00061,P0250,2023-07-01,1,710.82
444,O00445,C01882,P0202,2024-10-23,1,1953.99
445,O00446,C01423,P0035,2023-07-02,4,2319.04
446,O00447,C00299,P0307,2024-04-10,5,9617.2
447,O00448,C00335,P0349,2023-07-29,4,4238.92
448,O00449,C00818,P0380,2024-03-09,2,3442.42
449,O00450,C01725,P0272,2023-07-10,5,7361.45
450,O00451,C01889,P0200,2023-11-29,2,1384.24
451,O00452,C00399,P0353,2024-12-14,2,2929.34
452,O00453,C00490,P0185,2024-09-06,5,7975.85
453,O00454,C01022,P0146,2024-07-01,1,1763.2
454,O00455,C01561,P0266,2023-01-28,4,1297.48
455,O00456,C01344,P0203,2024-01-06,4,4066.28
456,O00457,C00448,P0308,2023-07-24,5,936.75
457,O00458,C00584,P0498,2024-08-24,1,1990.58
458,O00459,C00326,P0443,2024-07-12,1,685.07
459,O00460,C01888,P0392,2023-04-07,4,3571.88
460,O00461,C01648,P0252,2023-10-21,4,7829.52
461,O00462,C01253,P0122,2023-05-27,1,539.16
462,O00463,C01418,P0143,2024-09-30,1,1549.15
463,O00464,C01143,P0125,2023-11-11,4,3789.72
464,O00465,C00096,P0486,2024-03-14,5,1576.25
465,O00466,C00102,P0146,2024-09-16,1,1763.2
466,O00467,C01486,P0366,2024-12-31,2,2017.7
467,O00468,C00455,P0493,2024-04-06,1,295.7
468,O00469,C01103,P0471,2023-05-17,5,103.4
469,O00470,C00855,P0117,2024-11-19,4,2661.96
470,O00471,C00619,P0378,2024-07-27,4,6708.04
471,O00472,C00734,P0215,2023-02-24,4,6713.8
472,O00473,C01780,P0200,2023-01-15,5,3460.6
473,O00474,C00790,P0331,2024-09-05,2,3057.7
474,O00475,C01132,P0333,2023-12-05,4,7568.96
475,O00476,C00478,P0090,2023-02-12,5,649.35
476,O00477,C01565,P0034,2023-04-19,5,9219.2
477,O00478,C01337,P0270,2023-01-13,3,1835.13
478,O00479,C00839,P0289,2024-07-22,2,3560.38
479,O00480,C00778,P0102,2023-06-08,5,5398.45
480,O00481,C00650,P0480,2023-05-01,1,492.92
481,O00482,C00301,P0108,2024-01-30,3,66.9
482,O00483,C00737,P0286,2024-06-30,1,1164.64
483,O00484,C00913,P0211,2024-07-30,2,2102.7
484,O00485,C00327,P0400,2023-09-09,2,1670.44
485,O00486,C00707,P0386,2023-11-17,4,5176.64
486,O00487,C01895,P0024,2023-12-09,1,1422.07
487,O00488,C01625,P0218,2024-05-14,2,415.34
488,O00489,C01798,P0006,2024-06-07,5,4681.8
489,O00490,C01797,P0040,2023-12-28,3,5467.17
490,O00491,C00815,P0227,2023-06-01,4,1796.44
491,O00492,C01795,P0487,2023-09-16,5,8334.7
492,O00493,C01915,P0457,2023-10-02,3,5193.69
493,O00494,C00979,P0089,2024-07-10,5,3056.55
494,O00495,C01422,P0359,2024-03-23,1,660.84
495,O00496,C01194,P0139,2024-01-24,2,798.06
496,O00497,C01656,P0088,2023-05-24,2,2964.38
497,O00498,C01067,P0365,2023-09-29,3,4628.55
498,O00499,C01919,P0496,2023-03-29,1,137.62
499,O00500,C01592,P0217,2024-12-09,2,2920.44
500,O00501,C00661,P0392,2023-03-27,5,4464.85
