"shipping_id","order_id","shipping_date","shipping_method","shipping_status","flag_shiptype"
104,1831,"2024-12-03","Express","Shipped","Fast"
105,4330,"2025-06-16","Express","Delivered","Fast"
106,1577,"2023-11-16","Express","Shipped","Fast"
107,4539,"2023-10-29","Standard","Shipped","Normal"
108,2868,"2025-03-07","Express","Lost","Fast"
109,2856,"2024-11-01","Standard","Shipped","Normal"
110,2397,"2023-07-27","Standard","Shipped","Normal"
111,2804,"2024-03-04","Same-day","Pending","Fast"
112,658,"2023-12-05","Same-day","Pending","Fast"
113,2127,"2024-11-05","Same-day","Lost","Fast"
114,3534,"2023-07-23","Same-day","Lost","Fast"
115,336,"2025-02-06","Express","Pending","Fast"
116,4945,"2025-06-07","Standard","Shipped","Normal"
117,663,"2024-05-10","Same-day","Delivered","Fast"
118,4790,"2025-04-09","Express","Lost","Fast"
119,1902,"2024-09-02","Standard","Lost","Normal"
120,2656,"2023-11-12","Express","Lost","Fast"
121,769,"2023-11-30","Same-day","Lost","Fast"
122,643,"2024-01-14","Standard","Shipped","Normal"
123,3905,"2024-09-04","Same-day","Shipped","Fast"
124,2494,"2024-06-09","Standard","Delivered","Normal"
125,2819,"2024-03-13","Same-day","Lost","Fast"
126,2929,"2024-02-02","Standard","Pending","Normal"
127,2562,"2024-04-18","Express","Lost","Fast"
128,1802,"2024-07-23","Same-day","Pending","Fast"
129,3718,"2025-04-02","Same-day","Shipped","Fast"
130,257,"2025-04-22","Standard","Shipped","Normal"
131,3424,"2023-10-15","Same-day","Delivered","Fast"
132,1112,"2024-04-28","Same-day","Lost","Fast"
133,3883,"2023-08-25","Express","Lost","Fast"
134,1528,"2024-07-30","Express","Delivered","Fast"
135,4455,"2024-01-19","Standard","Lost","Normal"
136,882,"2024-08-07","Express","Shipped","Fast"
137,3406,"2024-02-12","Standard","Lost","Normal"
138,3733,"2023-08-09","Standard","Lost","Normal"
139,1637,"2025-04-11","Express","Pending","Fast"
140,2028,"2024-05-27","Standard","Delivered","Normal"
141,3624,"2024-12-28","Express","Delivered","Fast"
142,2050,"2023-10-02","Standard","Lost","Normal"
143,3157,"2024-04-30","Same-day","Shipped","Fast"
144,783,"2024-05-12","Same-day","Pending","Fast"
145,1151,"2024-07-07","Express","Pending","Fast"
146,712,"2024-02-25","Standard","Shipped","Normal"
147,2601,"2023-09-13","Express","Delivered","Fast"
148,3897,"2024-04-17","Express","Shipped","Fast"
149,3069,"2024-01-25","Same-day","Pending","Fast"
150,3467,"2024-09-28","Same-day","Delivered","Fast"
151,1367,"2023-12-13","Express","Lost","Fast"
152,3485,"2024-02-07","Same-day","Pending","Fast"
153,2109,"2024-09-08","Same-day","Lost","Fast"
154,832,"2024-04-08","Standard","Delivered","Normal"
155,1424,"2024-05-19","Standard","Pending","Normal"
156,3476,"2025-03-26","Standard","Delivered","Normal"
157,236,"2024-05-16","Same-day","Shipped","Fast"
158,4209,"2024-03-23","Same-day","Shipped","Fast"
159,2110,"2024-02-02","Express","Lost","Fast"
160,4307,"2025-06-07","Express","Delivered","Fast"
161,971,"2025-02-12","Express","Shipped","Fast"
162,4188,"2023-09-13","Express","Lost","Fast"
163,3622,"2024-11-04","Same-day","Lost","Fast"
164,3214,"2024-09-02","Express","Delivered","Fast"
165,1309,"2025-06-06","Same-day","Lost","Fast"
166,116,"2024-11-26","Standard","Lost","Normal"
167,4827,"2023-11-14","Standard","Pending","Normal"
168,486,"2024-03-04","Express","Delivered","Fast"
169,3473,"2023-10-21","Same-day","Shipped","Fast"
170,4678,"2025-06-09","Same-day","Pending","Fast"
171,1918,"2024-01-10","Standard","Shipped","Normal"
172,687,"2024-09-06","Standard","Lost","Normal"
173,4944,"2024-06-30","Standard","Lost","Normal"
174,3535,"2023-12-26","Express","Delivered","Fast"
175,1971,"2023-07-23","Standard","Lost","Normal"
176,166,"2023-08-05","Same-day","Delivered","Fast"
177,1925,"2024-05-20","Same-day","Lost","Fast"
178,4897,"2024-03-05","Express","Lost","Fast"
179,2753,"2023-07-22","Standard","Pending","Normal"
180,605,"2025-04-20","Express","Delivered","Fast"
181,3571,"2024-02-18","Same-day","Delivered","Fast"
182,4048,"2023-12-30","Same-day","Delivered","Fast"
183,486,"2023-09-28","Express","Pending","Fast"
184,2546,"2024-04-20","Standard","Pending","Normal"
185,2750,"2024-09-26","Express","Delivered","Fast"
186,267,"2024-05-24","Standard","Lost","Normal"
187,2703,"2024-01-15","Standard","Lost","Normal"
188,4835,"2023-09-16","Same-day","Shipped","Fast"
189,4423,"2024-09-26","Same-day","Pending","Fast"
190,1171,"2023-08-19","Standard","Delivered","Normal"
191,1025,"2025-07-03","Same-day","Pending","Fast"
192,3431,"2025-05-27","Same-day","Shipped","Fast"
193,3611,"2024-06-05","Same-day","Shipped","Fast"
194,1865,"2024-11-07","Express","Pending","Fast"
195,819,"2025-02-07","Same-day","Shipped","Fast"
196,1420,"2025-03-15","Standard","Lost","Normal"
197,1764,"2024-09-25","Same-day","Delivered","Fast"
198,2298,"2024-11-16","Express","Lost","Fast"
199,1878,"2024-02-03","Standard","Shipped","Normal"
200,4351,"2024-01-29","Same-day","Pending","Fast"
201,4556,"2024-01-12","Standard","Lost","Normal"
202,4347,"2025-03-03","Express","Lost","Fast"
203,316,"2024-04-25","Standard","Shipped","Normal"
204,2528,"2025-01-01","Same-day","Shipped","Fast"
205,4114,"2025-04-30","Same-day","Lost","Fast"
206,2820,"2024-08-10","Same-day","Pending","Fast"
207,741,"2025-04-22","Same-day","Pending","Fast"
208,2391,"2023-08-12","Express","Delivered","Fast"
209,1248,"2023-10-16","Express","Pending","Fast"
210,469,"2023-08-31","Standard","Shipped","Normal"
211,1190,"2025-05-17","Express","Pending","Fast"
212,3026,"2023-12-27","Standard","Shipped","Normal"
213,4980,"2025-05-22","Standard","Pending","Normal"
214,1985,"2024-11-01","Express","Lost","Fast"
215,3283,"2024-02-16","Express","Pending","Fast"
216,2440,"2024-06-30","Same-day","Shipped","Fast"
217,3001,"2024-07-24","Standard","Delivered","Normal"
218,379,"2024-09-08","Same-day","Lost","Fast"
219,1186,"2025-05-18","Standard","Pending","Normal"
220,4530,"2023-08-27","Express","Lost","Fast"
221,1440,"2024-12-11","Express","Delivered","Fast"
222,1946,"2024-08-18","Standard","Pending","Normal"
223,878,"2023-12-14","Express","Pending","Fast"
224,2018,"2024-11-07","Standard","Delivered","Normal"
225,2092,"2024-05-06","Standard","Delivered","Normal"
226,1086,"2023-11-22","Express","Pending","Fast"
227,3862,"2023-09-10","Same-day","Lost","Fast"
228,2964,"2024-07-05","Same-day","Pending","Fast"
229,3040,"2025-03-22","Express","Shipped","Fast"
230,3618,"2023-10-29","Same-day","Pending","Fast"
231,3102,"2025-07-16","Express","Delivered","Fast"
232,3823,"2025-04-29","Same-day","Lost","Fast"
233,1514,"2023-12-24","Express","Delivered","Fast"
234,4968,"2024-04-04","Express","Lost","Fast"
235,4995,"2024-02-25","Same-day","Shipped","Fast"
236,524,"2024-02-11","Standard","Shipped","Normal"
237,903,"2023-10-03","Same-day","Pending","Fast"
238,2714,"2025-07-05","Express","Pending","Fast"
239,2399,"2024-07-15","Express","Lost","Fast"
240,4838,"2024-08-16","Standard","Pending","Normal"
241,199,"2023-08-01","Same-day","Delivered","Fast"
242,2337,"2024-01-26","Standard","Delivered","Normal"
243,2120,"2023-08-23","Express","Shipped","Fast"
244,1590,"2025-06-10","Standard","Lost","Normal"
245,697,"2023-10-08","Standard","Pending","Normal"
246,4271,"2024-03-19","Standard","Pending","Normal"
247,1664,"2024-03-24","Same-day","Pending","Fast"
248,2451,"2024-06-07","Standard","Pending","Normal"
249,2038,"2024-05-19","Standard","Pending","Normal"
250,3571,"2024-11-11","Same-day","Shipped","Fast"
251,3052,"2024-06-10","Express","Lost","Fast"
252,1844,"2024-09-20","Standard","Lost","Normal"
253,693,"2025-01-27","Standard","Lost","Normal"
254,313,"2024-09-27","Express","Delivered","Fast"
255,1285,"2023-11-28","Same-day","Shipped","Fast"
256,4795,"2024-07-03","Same-day","Pending","Fast"
257,3964,"2025-06-27","Express","Delivered","Fast"
258,3963,"2024-09-18","Standard","Lost","Normal"
259,973,"2023-07-28","Same-day","Delivered","Fast"
260,879,"2025-03-11","Standard","Shipped","Normal"
261,2628,"2024-06-05","Standard","Delivered","Normal"
262,130,"2024-09-15","Express","Delivered","Fast"
263,3343,"2023-07-26","Standard","Lost","Normal"
264,1205,"2025-06-05","Standard","Lost","Normal"
265,4789,"2023-12-16","Express","Lost","Fast"
266,940,"2024-02-23","Same-day","Shipped","Fast"
267,3832,"2024-11-18","Express","Lost","Fast"
268,4956,"2024-11-04","Same-day","Delivered","Fast"
269,1037,"2024-06-18","Express","Pending","Fast"
270,3194,"2023-11-29","Standard","Shipped","Normal"
271,2784,"2024-08-06","Same-day","Pending","Fast"
272,527,"2024-02-02","Same-day","Delivered","Fast"
273,3703,"2024-01-31","Standard","Pending","Normal"
274,1751,"2024-06-29","Same-day","Delivered","Fast"
275,1325,"2024-11-05","Same-day","Delivered","Fast"
276,4172,"2024-02-11","Same-day","Pending","Fast"
277,914,"2023-12-01","Standard","Delivered","Normal"
278,3501,"2023-08-27","Standard","Pending","Normal"
279,1158,"2023-11-02","Standard","Shipped","Normal"
280,684,"2024-10-13","Standard","Shipped","Normal"
281,439,"2024-09-18","Same-day","Delivered","Fast"
282,4125,"2024-08-27","Standard","Lost","Normal"
283,4008,"2023-10-04","Same-day","Delivered","Fast"
284,1873,"2024-04-22","Express","Shipped","Fast"
285,1275,"2024-10-31","Express","Pending","Fast"
286,1284,"2025-04-26","Same-day","Lost","Fast"
287,803,"2024-02-14","Same-day","Pending","Fast"
288,4864,"2024-11-07","Express","Shipped","Fast"
289,4506,"2023-10-02","Express","Delivered","Fast"
290,2017,"2023-11-26","Same-day","Shipped","Fast"
291,3253,"2024-09-04","Express","Pending","Fast"
292,4647,"2024-03-09","Same-day","Lost","Fast"
293,619,"2023-10-10","Same-day","Delivered","Fast"
294,2640,"2023-11-06","Same-day","Lost","Fast"
295,3627,"2025-07-17","Same-day","Delivered","Fast"
296,1785,"2025-06-02","Express","Lost","Fast"
297,3773,"2025-05-29","Same-day","Pending","Fast"
298,3565,"2024-05-28","Standard","Delivered","Normal"
299,3966,"2023-10-28","Same-day","Pending","Fast"
300,934,"2024-04-16","Express","Pending","Fast"
301,221,"2024-07-10","Express","Shipped","Fast"
302,2941,"2024-09-11","Same-day","Lost","Fast"
303,1122,"2025-05-16","Same-day","Lost","Fast"
304,4628,"2023-12-13","Express","Lost","Fast"
305,4210,"2023-08-28","Same-day","Shipped","Fast"
306,3697,"2025-07-01","Express","Delivered","Fast"
307,3993,"2024-06-04","Express","Delivered","Fast"
308,9,"2024-10-30","Standard","Shipped","Normal"
309,3622,"2023-09-16","Express","Lost","Fast"
310,2393,"2024-02-12","Standard","Delivered","Normal"
311,2837,"2023-11-01","Express","Pending","Fast"
312,4874,"2024-07-09","Same-day","Delivered","Fast"
313,664,"2023-10-13","Same-day","Delivered","Fast"
314,3057,"2024-10-07","Same-day","Shipped","Fast"
315,1610,"2023-11-01","Same-day","Shipped","Fast"
316,463,"2023-10-17","Same-day","Shipped","Fast"
317,2084,"2023-07-31","Express","Shipped","Fast"
318,2246,"2024-01-27","Same-day","Delivered","Fast"
319,2604,"2023-12-06","Same-day","Pending","Fast"
320,419,"2025-04-15","Standard","Lost","Normal"
321,85,"2024-02-26","Standard","Lost","Normal"
322,1455,"2023-09-16","Express","Delivered","Fast"
323,49,"2024-04-29","Standard","Pending","Normal"
324,1073,"2024-09-23","Express","Delivered","Fast"
325,3091,"2024-07-16","Express","Delivered","Fast"
326,4266,"2025-01-13","Standard","Pending","Normal"
327,2000,"2024-04-17","Express","Shipped","Fast"
328,4592,"2023-10-20","Same-day","Shipped","Fast"
329,4050,"2025-05-08","Standard","Shipped","Normal"
330,4547,"2024-11-13","Express","Shipped","Fast"
331,281,"2024-09-23","Express","Lost","Fast"
332,1746,"2024-10-03","Standard","Shipped","Normal"
333,2537,"2024-09-25","Same-day","Pending","Fast"
334,2837,"2024-11-25","Express","Pending","Fast"
335,453,"2025-03-16","Standard","Pending","Normal"
336,1394,"2025-04-13","Standard","Delivered","Normal"
337,4870,"2023-09-08","Standard","Lost","Normal"
338,2591,"2024-11-14","Express","Delivered","Fast"
339,4121,"2025-05-29","Same-day","Pending","Fast"
340,3275,"2023-10-28","Standard","Delivered","Normal"
341,3708,"2024-01-19","Express","Shipped","Fast"
342,3249,"2024-07-29","Express","Shipped","Fast"
343,387,"2024-08-06","Express","Shipped","Fast"
344,1948,"2025-06-24","Same-day","Delivered","Fast"
345,390,"2025-01-09","Same-day","Lost","Fast"
346,2230,"2024-06-22","Same-day","Shipped","Fast"
347,70,"2023-10-28","Same-day","Pending","Fast"
348,4953,"2024-05-05","Express","Delivered","Fast"
349,1686,"2025-03-15","Express","Lost","Fast"
350,2238,"2023-10-11","Same-day","Delivered","Fast"
351,3344,"2025-03-09","Standard","Lost","Normal"
352,3763,"2025-06-15","Same-day","Shipped","Fast"
353,2851,"2024-05-15","Same-day","Shipped","Fast"
354,2438,"2025-06-20","Express","Lost","Fast"
355,564,"2023-12-20","Standard","Delivered","Normal"
356,4395,"2024-03-24","Same-day","Pending","Fast"
357,1198,"2024-12-22","Express","Lost","Fast"
358,1967,"2024-06-07","Express","Pending","Fast"
359,3474,"2024-03-25","Express","Delivered","Fast"
360,4438,"2024-11-29","Standard","Delivered","Normal"
361,4137,"2025-05-07","Express","Delivered","Fast"
362,789,"2025-02-19","Express","Delivered","Fast"
363,366,"2024-10-25","Same-day","Lost","Fast"
364,619,"2024-12-17","Same-day","Pending","Fast"
365,1996,"2025-04-28","Standard","Shipped","Normal"
366,4502,"2024-02-26","Express","Pending","Fast"
367,1083,"2024-06-25","Same-day","Shipped","Fast"
368,3657,"2024-10-24","Express","Pending","Fast"
369,1414,"2025-03-06","Same-day","Delivered","Fast"
370,588,"2024-11-23","Same-day","Delivered","Fast"
371,398,"2023-08-14","Express","Lost","Fast"
372,2569,"2025-07-13","Same-day","Pending","Fast"
373,821,"2024-11-11","Same-day","Pending","Fast"
374,1997,"2024-04-26","Standard","Pending","Normal"
375,2004,"2025-02-20","Express","Delivered","Fast"
376,2301,"2023-11-23","Express","Shipped","Fast"
377,3075,"2024-10-04","Same-day","Lost","Fast"
378,493,"2024-08-04","Same-day","Shipped","Fast"
379,824,"2024-03-27","Standard","Lost","Normal"
380,4469,"2023-10-19","Same-day","Pending","Fast"
381,2544,"2025-02-08","Standard","Delivered","Normal"
382,1309,"2024-04-02","Standard","Pending","Normal"
383,1220,"2024-01-05","Express","Delivered","Fast"
384,24,"2024-08-20","Same-day","Lost","Fast"
385,808,"2025-07-07","Express","Lost","Fast"
386,1926,"2024-05-15","Standard","Shipped","Normal"
387,4387,"2024-07-19","Express","Delivered","Fast"
388,4481,"2025-05-27","Same-day","Delivered","Fast"
389,1385,"2023-12-26","Standard","Lost","Normal"
390,2963,"2024-10-22","Same-day","Shipped","Fast"
391,1934,"2024-03-06","Express","Shipped","Fast"
392,1424,"2024-12-30","Express","Lost","Fast"
393,259,"2023-09-02","Express","Shipped","Fast"
394,4508,"2024-10-24","Express","Pending","Fast"
395,1614,"2024-03-07","Express","Shipped","Fast"
396,630,"2025-06-10","Standard","Shipped","Normal"
397,3169,"2024-01-25","Same-day","Lost","Fast"
398,4285,"2023-09-15","Same-day","Delivered","Fast"
399,996,"2024-05-27","Same-day","Shipped","Fast"
400,3368,"2024-08-03","Same-day","Lost","Fast"
401,1821,"2024-10-22","Express","Pending","Fast"
402,3403,"2025-04-13","Standard","Delivered","Normal"
403,75,"2024-12-10","Standard","Pending","Normal"
404,1947,"2024-05-19","Express","Shipped","Fast"
405,4403,"2023-10-06","Express","Delivered","Fast"
406,4632,"2024-11-08","Standard","Shipped","Normal"
407,705,"2023-10-03","Express","Pending","Fast"
408,3924,"2024-03-30","Standard","Shipped","Normal"
409,2012,"2024-06-07","Express","Pending","Fast"
410,3117,"2025-03-17","Same-day","Pending","Fast"
411,4918,"2024-04-22","Same-day","Delivered","Fast"
412,104,"2023-10-03","Standard","Shipped","Normal"
413,3817,"2024-10-07","Standard","Lost","Normal"
414,4181,"2025-02-09","Standard","Delivered","Normal"
415,4854,"2024-06-10","Standard","Lost","Normal"
416,2509,"2024-02-02","Same-day","Shipped","Fast"
417,3983,"2023-09-04","Standard","Lost","Normal"
418,3510,"2023-08-28","Same-day","Shipped","Fast"
419,3950,"2025-06-18","Same-day","Delivered","Fast"
420,1509,"2025-06-05","Express","Lost","Fast"
421,379,"2024-06-01","Same-day","Delivered","Fast"
422,351,"2024-01-09","Standard","Shipped","Normal"
423,190,"2025-04-05","Same-day","Delivered","Fast"
424,2897,"2025-02-21","Express","Delivered","Fast"
425,1061,"2023-07-28","Express","Shipped","Fast"
426,662,"2025-07-05","Same-day","Pending","Fast"
427,2106,"2025-02-26","Express","Pending","Fast"
428,817,"2023-11-27","Same-day","Pending","Fast"
429,413,"2023-12-07","Same-day","Lost","Fast"
430,3883,"2025-02-11","Same-day","Lost","Fast"
431,73,"2025-06-30","Same-day","Delivered","Fast"
432,3742,"2024-08-24","Same-day","Shipped","Fast"
433,936,"2024-08-08","Express","Pending","Fast"
434,3553,"2023-09-06","Same-day","Delivered","Fast"
435,1978,"2024-08-13","Standard","Shipped","Normal"
436,2204,"2024-01-16","Standard","Delivered","Normal"
437,4593,"2024-05-17","Standard","Lost","Normal"
438,2992,"2024-11-10","Standard","Delivered","Normal"
439,226,"2024-01-28","Express","Shipped","Fast"
440,4368,"2024-07-11","Same-day","Lost","Fast"
441,4970,"2024-04-30","Express","Shipped","Fast"
442,2627,"2024-01-06","Standard","Delivered","Normal"
443,854,"2024-06-30","Same-day","Lost","Fast"
444,1478,"2025-01-28","Same-day","Pending","Fast"
445,1776,"2025-07-10","Standard","Shipped","Normal"
446,3759,"2024-01-25","Standard","Delivered","Normal"
447,53,"2024-02-22","Same-day","Pending","Fast"
448,4335,"2023-11-15","Express","Delivered","Fast"
449,3042,"2023-08-11","Same-day","Pending","Fast"
450,663,"2023-09-07","Same-day","Pending","Fast"
451,903,"2025-07-08","Standard","Shipped","Normal"
452,4786,"2024-08-31","Same-day","Shipped","Fast"
453,660,"2023-08-14","Express","Shipped","Fast"
454,2170,"2025-07-03","Same-day","Delivered","Fast"
455,2490,"2024-12-05","Same-day","Pending","Fast"
456,2964,"2023-12-22","Standard","Delivered","Normal"
457,2127,"2023-09-08","Standard","Shipped","Normal"
458,2977,"2025-06-29","Standard","Delivered","Normal"
459,3444,"2024-10-05","Standard","Shipped","Normal"
460,4961,"2024-01-02","Same-day","Delivered","Fast"
461,3872,"2024-03-17","Express","Shipped","Fast"
462,1162,"2023-10-12","Express","Shipped","Fast"
463,3240,"2025-07-18","Standard","Pending","Normal"
464,2820,"2024-05-28","Express","Delivered","Fast"
465,2773,"2024-01-05","Same-day","Lost","Fast"
466,3191,"2025-04-24","Express","Pending","Fast"
467,942,"2025-02-23","Same-day","Shipped","Fast"
468,4916,"2024-06-30","Standard","Delivered","Normal"
469,1525,"2025-02-24","Standard","Pending","Normal"
470,3716,"2024-08-04","Express","Lost","Fast"
471,3505,"2023-09-06","Express","Delivered","Fast"
472,4084,"2024-01-23","Express","Pending","Fast"
473,642,"2024-08-14","Same-day","Shipped","Fast"
474,1936,"2023-10-13","Standard","Shipped","Normal"
475,3598,"2023-10-31","Same-day","Pending","Fast"
476,3655,"2024-11-01","Same-day","Shipped","Fast"
477,953,"2025-01-08","Express","Shipped","Fast"
478,4105,"2025-07-08","Same-day","Lost","Fast"
479,4100,"2024-03-25","Standard","Delivered","Normal"
480,3402,"2023-07-22","Same-day","Shipped","Fast"
481,1159,"2023-11-03","Same-day","Pending","Fast"
482,3487,"2024-05-01","Standard","Shipped","Normal"
483,1971,"2025-06-28","Standard","Delivered","Normal"
484,4790,"2025-06-28","Express","Delivered","Fast"
485,2904,"2023-12-01","Express","Lost","Fast"
486,3284,"2025-05-15","Same-day","Lost","Fast"
487,873,"2025-03-15","Express","Lost","Fast"
488,1102,"2024-01-12","Same-day","Delivered","Fast"
489,3291,"2024-07-12","Same-day","Delivered","Fast"
490,3127,"2024-12-14","Same-day","Shipped","Fast"
491,3610,"2023-11-15","Express","Pending","Fast"
492,4456,"2025-03-22","Express","Lost","Fast"
493,1793,"2023-09-13","Express","Pending","Fast"
494,207,"2025-06-19","Express","Shipped","Fast"
495,3050,"2023-12-15","Standard","Pending","Normal"
496,2978,"2025-04-25","Express","Lost","Fast"
497,4051,"2024-09-28","Standard","Lost","Normal"
498,1700,"2024-11-17","Same-day","Delivered","Fast"
499,3759,"2023-10-21","Standard","Shipped","Normal"
500,807,"2025-04-25","Express","Lost","Fast"
501,1603,"2023-09-05","Standard","Delivered","Normal"
502,4461,"2023-08-29","Express","Delivered","Fast"
503,4299,"2024-10-11","Same-day","Shipped","Fast"
504,3915,"2023-12-16","Same-day","Delivered","Fast"
505,2347,"2023-12-12","Express","Pending","Fast"
506,382,"2025-04-28","Same-day","Pending","Fast"
507,1359,"2024-12-16","Express","Shipped","Fast"
508,1146,"2025-04-15","Standard","Shipped","Normal"
509,1782,"2024-03-20","Standard","Shipped","Normal"
510,2365,"2023-09-19","Express","Shipped","Fast"
511,3120,"2024-10-22","Express","Pending","Fast"
512,564,"2024-04-04","Standard","Shipped","Normal"
513,2474,"2025-01-03","Express","Delivered","Fast"
514,2435,"2024-10-14","Standard","Pending","Normal"
515,3203,"2024-05-22","Express","Pending","Fast"
516,3124,"2024-10-07","Express","Shipped","Fast"
517,1442,"2024-09-03","Same-day","Delivered","Fast"
518,4049,"2024-09-05","Standard","Lost","Normal"
519,3476,"2023-08-16","Express","Pending","Fast"
520,1678,"2024-02-08","Express","Pending","Fast"
521,1790,"2024-03-25","Standard","Delivered","Normal"
522,7,"2024-05-09","Same-day","Pending","Fast"
523,2432,"2023-12-08","Standard","Delivered","Normal"
524,905,"2024-11-02","Express","Shipped","Fast"
525,587,"2023-12-31","Express","Pending","Fast"
526,3745,"2023-09-11","Express","Pending","Fast"
527,3409,"2025-04-09","Same-day","Delivered","Fast"
528,793,"2024-02-14","Same-day","Lost","Fast"
529,2443,"2025-03-09","Same-day","Pending","Fast"
