order_id,payment_method,payment_status,payment_date
ORD10082,Bank Transfer,Paid,2024-10-30
ORD10083,E-wallet,Paid,2024-11-11
ORD10084,Bank Transfer,Paid,2024-04-16
ORD10085,Cash,Paid,2023-06-14
ORD10086,E-wallet,Paid,2023-09-30
ORD10087,Cash,Paid,2023-02-25
ORD10088,Cash,Paid,2023-08-20
ORD10089,Cash,Paid,2025-05-01
ORD10090,Bank Transfer,Paid,2023-05-30
ORD10091,Credit Card,Paid,2023-02-19
ORD10092,Bank Transfer,Pending,2023-05-25
ORD10093,Bank Transfer,Paid,2025-01-19
ORD10094,Cash,Paid,2025-02-26
ORD10095,E-wallet,Paid,2024-09-26
ORD10096,Credit Card,Paid,2023-12-08
ORD10097,Cash,Paid,2024-02-21
ORD10098,Credit Card,Paid,2025-01-05
ORD10099,Bank Transfer,Paid,2024-06-07
ORD10100,Credit Card,Paid,2023-12-14
ORD10101,Credit Card,Paid,2024-01-25
ORD10102,E-wallet,Paid,2024-04-20
ORD10103,Cash,Paid,2023-10-04
ORD10104,Credit Card,Paid,2023-12-22
ORD10105,Credit Card,Paid,2023-03-10
ORD10106,Bank Transfer,Paid,2023-03-20
ORD10107,Bank Transfer,Pending,2024-08-20
ORD10108,Credit Card,Pending,2024-09-28
ORD10109,Cash,Paid,2023-07-23
ORD10110,Credit Card,Paid,2024-10-23
ORD10111,Credit Card,Paid,2024-07-13
ORD10112,E-wallet,Paid,2023-04-25
ORD10113,Cash,Failed,2023-04-05
ORD10114,E-wallet,Paid,2023-05-23
ORD10115,Cash,Paid,2023-10-20
ORD10116,Cash,Paid,2025-06-20
ORD10117,Cash,Paid,2024-12-31
ORD10118,E-wallet,Paid,2024-08-12
ORD10119,E-wallet,Paid,2024-02-19
ORD10120,E-wallet,Paid,2024-01-16
ORD10121,Bank Transfer,Paid,2024-01-20
ORD10122,E-wallet,Paid,2025-04-29
ORD10123,Bank Transfer,Paid,2023-06-04
ORD10124,Bank Transfer,Paid,2025-04-17
ORD10125,Bank Transfer,Paid,2025-01-24
ORD10126,Credit Card,Pending,2024-09-22
ORD10127,Credit Card,Paid,2023-11-15
ORD10128,Credit Card,Paid,2024-01-04
ORD10129,Bank Transfer,Paid,2024-08-30
ORD10130,Bank Transfer,Paid,2024-07-15
ORD10131,Cash,Paid,2024-12-05
ORD10132,Bank Transfer,Paid,2024-04-07
ORD10133,Credit Card,Pending,2023-01-15
ORD10134,Bank Transfer,Paid,2023-06-06
ORD10135,Bank Transfer,Failed,2024-11-18
ORD10136,Cash,Failed,2024-04-21
ORD10137,Bank Transfer,Pending,2024-02-09
ORD10138,E-wallet,Paid,2025-03-22
ORD10139,Cash,Paid,2023-06-26
ORD10140,Bank Transfer,Paid,2023-12-11
ORD10141,Bank Transfer,Paid,2023-02-28
ORD10142,Cash,Paid,2025-05-04
ORD10143,Bank Transfer,Paid,2025-05-05
ORD10144,Credit Card,Paid,2024-03-25
ORD10145,E-wallet,Pending,2023-07-24
ORD10146,E-wallet,Paid,2024-11-30
ORD10147,Credit Card,Paid,2024-09-26
ORD10148,Bank Transfer,Paid,2025-01-08
ORD10149,Bank Transfer,Paid,2023-07-21
ORD10150,E-wallet,Paid,2023-11-26
ORD10151,Bank Transfer,Failed,2023-12-29
ORD10152,E-wallet,Paid,2025-06-14
ORD10153,E-wallet,Paid,2024-04-02
ORD10154,Credit Card,Paid,2023-12-23
ORD10155,E-wallet,Paid,2023-08-06
ORD10156,Bank Transfer,Paid,2024-07-12
ORD10157,Bank Transfer,Paid,2025-06-07
ORD10158,Cash,Paid,2023-01-25
ORD10159,Bank Transfer,Paid,2023-06-08
ORD10160,Cash,Paid,2023-07-09
ORD10161,E-wallet,Paid,2023-09-07
ORD10162,Bank Transfer,Pending,2025-01-21
ORD10163,Credit Card,Paid,2025-03-15
ORD10164,Credit Card,Paid,2023-05-18
ORD10165,Credit Card,Paid,2023-11-21
ORD10166,E-wallet,Pending,2024-01-27
ORD10167,E-wallet,Pending,2024-03-12
ORD10168,Cash,Paid,2023-01-26
ORD10169,Credit Card,Paid,2025-05-25
ORD10170,Cash,Paid,2024-08-22
ORD10171,Cash,Paid,2024-10-28
ORD10172,Bank Transfer,Paid,2023-05-06
ORD10173,Bank Transfer,Paid,2023-03-20
ORD10174,Credit Card,Paid,2025-05-10
ORD10175,E-wallet,Failed,2023-02-23
ORD10176,Bank Transfer,Paid,2024-12-28
ORD10177,E-wallet,Paid,2023-06-28
ORD10178,Cash,Paid,2025-05-20
ORD10179,Cash,Paid,2023-09-11
ORD10180,Cash,Paid,2023-09-06
ORD10181,Cash,Paid,2025-01-11
ORD10182,Credit Card,Paid,2023-04-17
ORD10183,Cash,Paid,2023-07-15
ORD10184,Bank Transfer,Paid,2023-11-16
ORD10185,Cash,Paid,2023-10-31
ORD10186,E-wallet,Paid,2024-07-05
ORD10187,Bank Transfer,Paid,2024-12-19
ORD10188,E-wallet,Paid,2025-02-20
ORD10189,E-wallet,Paid,2023-09-27
ORD10190,Credit Card,Paid,2023-06-22
ORD10191,Credit Card,Paid,2024-07-06
ORD10192,E-wallet,Paid,2024-03-31
ORD10193,E-wallet,Paid,2024-10-14
ORD10194,Cash,Failed,2023-10-21
ORD10195,Bank Transfer,Paid,2024-07-21
ORD10196,Cash,Paid,2025-03-12
ORD10197,Credit Card,Paid,2025-03-12
ORD10198,Credit Card,Paid,2023-05-21
ORD10199,Cash,Paid,2023-05-28
ORD10200,Bank Transfer,Paid,2024-02-29
ORD10201,E-wallet,Paid,2023-11-13
ORD10202,Cash,Paid,2023-07-05
ORD10203,Credit Card,Failed,2024-10-25
ORD10204,Bank Transfer,Paid,2024-12-17
ORD10205,Credit Card,Paid,2023-05-08
ORD10206,Bank Transfer,Paid,2023-10-18
ORD10207,Bank Transfer,Failed,2025-04-03
ORD10208,Bank Transfer,Paid,2023-09-13
ORD10209,Cash,Paid,2025-02-16
ORD10210,Cash,Pending,2024-12-02
ORD10211,Cash,Paid,2024-01-24
ORD10212,Bank Transfer,Paid,2023-08-18
ORD10213,Bank Transfer,Paid,2023-09-30
ORD10214,Credit Card,Paid,2025-02-11
ORD10215,E-wallet,Pending,2025-03-23
ORD10216,Cash,Paid,2024-02-21
ORD10217,Bank Transfer,Failed,2023-07-17
ORD10218,Credit Card,Pending,2023-11-20
ORD10219,Credit Card,Paid,2023-03-01
ORD10220,Credit Card,Paid,2025-04-14
ORD10221,Cash,Paid,2023-07-26
ORD10222,Cash,Paid,2025-02-22
ORD10223,E-wallet,Paid,2024-09-14
ORD10224,Credit Card,Paid,2024-09-21
ORD10225,Cash,Paid,2024-08-29
ORD10226,Credit Card,Paid,2023-05-22
ORD10227,Bank Transfer,Paid,2024-03-01
ORD10228,Credit Card,Pending,2025-03-27
ORD10229,E-wallet,Paid,2023-03-02
ORD10230,Cash,Pending,2024-07-17
ORD10231,Bank Transfer,Paid,2023-03-14
ORD10232,Cash,Paid,2025-07-01
ORD10233,Bank Transfer,Paid,2024-08-16
ORD10234,Credit Card,Paid,2024-01-07
ORD10235,Credit Card,Paid,2024-09-08
ORD10236,E-wallet,Paid,2024-08-22
ORD10237,E-wallet,Paid,2024-05-29
ORD10238,Bank Transfer,Paid,2025-05-24
ORD10239,E-wallet,Paid,2023-03-28
ORD10240,E-wallet,Paid,2023-02-14
ORD10241,E-wallet,Paid,2024-10-31
ORD10242,E-wallet,Paid,2025-04-18
ORD10243,Credit Card,Failed,2024-08-31
ORD10244,E-wallet,Pending,2025-03-23
ORD10245,Credit Card,Failed,2023-05-13
ORD10246,Credit Card,Paid,2024-01-31
ORD10247,Cash,Paid,2023-03-07
ORD10248,Credit Card,Paid,2023-10-20
ORD10249,Credit Card,Paid,2024-01-12
ORD10250,E-wallet,Paid,2025-02-07
ORD10251,Credit Card,Paid,2024-04-14
ORD10252,Bank Transfer,Paid,2025-06-16
ORD10253,E-wallet,Paid,2023-08-02
ORD10254,E-wallet,Paid,2023-05-28
ORD10255,E-wallet,Paid,2024-07-27
ORD10256,Cash,Paid,2024-04-16
ORD10257,E-wallet,Paid,2023-05-29
ORD10258,Credit Card,Paid,2023-03-30
ORD10259,Bank Transfer,Pending,2023-11-22
ORD10260,E-wallet,Paid,2025-06-13
ORD10261,E-wallet,Paid,2024-02-02
ORD10262,Bank Transfer,Pending,2025-02-28
ORD10263,E-wallet,Paid,2024-02-09
ORD10264,Cash,Paid,2023-03-24
ORD10265,Credit Card,Paid,2024-10-05
ORD10266,Bank Transfer,Paid,2023-10-16
ORD10267,Bank Transfer,Paid,2024-01-19
ORD10268,Cash,Paid,2025-05-15
ORD10269,Credit Card,Paid,2025-03-05
ORD10270,Cash,Paid,2023-09-28
ORD10271,Credit Card,Failed,2023-10-19
ORD10272,Cash,Paid,2024-03-31
ORD10273,E-wallet,Paid,2024-12-17
ORD10274,Cash,Pending,2023-01-27
ORD10275,Bank Transfer,Paid,2025-05-13
ORD10276,Bank Transfer,Paid,2023-11-11
ORD10277,Bank Transfer,Paid,2024-04-09
ORD10278,Cash,Paid,2023-07-28
ORD10279,Bank Transfer,Paid,2025-03-02
ORD10280,Bank Transfer,Paid,2024-12-20
ORD10281,E-wallet,Paid,2024-10-29
ORD10282,E-wallet,Paid,2024-03-13
ORD10283,Credit Card,Paid,2024-06-22
ORD10284,Credit Card,Pending,2024-12-06
ORD10285,Credit Card,Paid,2023-12-03
ORD10286,Cash,Paid,2024-02-29
ORD10287,Credit Card,Paid,2025-01-19
ORD10288,Cash,Paid,2023-11-20
ORD10289,Cash,Paid,2024-05-11
ORD10290,Credit Card,Paid,2024-08-10
ORD10291,Credit Card,Paid,2023-06-13
ORD10292,Cash,Paid,2025-03-21
ORD10293,E-wallet,Paid,2024-06-25
ORD10294,Bank Transfer,Paid,2023-06-16
ORD10295,Bank Transfer,Failed,2025-04-30
ORD10296,Bank Transfer,Paid,2024-12-01
ORD10297,E-wallet,Paid,2024-07-21
ORD10298,Cash,Paid,2023-10-24
ORD10299,Credit Card,Paid,2023-02-15
ORD10300,Cash,Paid,2023-10-16
ORD10301,Cash,Paid,2024-01-26
ORD10302,Credit Card,Paid,2023-05-22
ORD10303,E-wallet,Pending,2023-07-07
ORD10304,Bank Transfer,Paid,2025-07-01
ORD10305,Bank Transfer,Pending,2024-12-19
ORD10306,Cash,Paid,2024-03-08
ORD10307,E-wallet,Paid,2024-07-10
ORD10308,Bank Transfer,Paid,2025-05-13
ORD10309,E-wallet,Paid,2024-02-23
ORD10310,Credit Card,Paid,2025-03-10
ORD10311,Cash,Paid,2024-03-01
ORD10312,Cash,Paid,2024-02-23
ORD10313,E-wallet,Paid,2023-01-27
ORD10314,Bank Transfer,Pending,2024-01-08
ORD10315,E-wallet,Paid,2024-01-23
ORD10316,Credit Card,Pending,2023-02-27
ORD10317,Bank Transfer,Paid,2023-09-14
ORD10318,Bank Transfer,Pending,2024-09-28
ORD10319,E-wallet,Paid,2023-04-17
ORD10320,Credit Card,Paid,2023-05-14
ORD10321,Bank Transfer,Paid,2025-05-01
ORD10322,Cash,Paid,2024-10-31
ORD10323,Credit Card,Paid,2024-01-14
ORD10324,Bank Transfer,Paid,2025-01-12
ORD10325,E-wallet,Paid,2023-11-04
ORD10326,Bank Transfer,Paid,2023-04-04
ORD10327,Cash,Paid,2024-01-31
ORD10328,Credit Card,Paid,2024-06-17
ORD10329,Bank Transfer,Paid,2025-03-14
ORD10330,Cash,Failed,2023-04-24
ORD10331,Bank Transfer,Paid,2024-07-15
ORD10332,Bank Transfer,Paid,2024-10-05
ORD10333,Credit Card,Pending,2024-08-11
ORD10334,E-wallet,Paid,2023-12-10
ORD10335,E-wallet,Paid,2024-07-20
ORD10336,Cash,Paid,2023-12-26
ORD10337,Cash,Paid,2025-06-13
ORD10338,Cash,Paid,2023-06-21
ORD10339,Credit Card,Paid,2024-07-13
ORD10340,E-wallet,Paid,2024-03-30
ORD10341,Cash,Paid,2025-06-23
ORD10342,Cash,Paid,2023-04-17
ORD10343,Bank Transfer,Failed,2023-05-31
ORD10344,Bank Transfer,Paid,2023-05-26
ORD10345,Cash,Pending,2024-12-17
ORD10346,Bank Transfer,Failed,2025-05-26
ORD10347,Bank Transfer,Paid,2023-10-26
ORD10348,Bank Transfer,Paid,2023-06-20
ORD10349,Credit Card,Paid,2024-12-17
ORD10350,Cash,Pending,2024-10-08
ORD10351,Cash,Paid,2024-12-26
ORD10352,Bank Transfer,Failed,2023-02-18
ORD10353,Credit Card,Paid,2024-10-01
ORD10354,Bank Transfer,Paid,2023-08-31
ORD10355,Credit Card,Paid,2023-01-07
ORD10356,Cash,Paid,2024-04-08
ORD10357,Bank Transfer,Paid,2024-03-28
ORD10358,Cash,Paid,2025-02-26
ORD10359,Credit Card,Paid,2025-06-18
ORD10360,E-wallet,Paid,2024-01-10
ORD10361,Credit Card,Pending,2024-07-06
ORD10362,E-wallet,Pending,2024-05-01
ORD10363,Cash,Paid,2023-08-03
ORD10364,Cash,Paid,2023-06-14
ORD10365,Bank Transfer,Paid,2023-05-08
ORD10366,E-wallet,Paid,2023-12-05
ORD10367,Credit Card,Paid,2023-07-11
ORD10368,Cash,Paid,2024-12-31
ORD10369,E-wallet,Paid,2023-08-04
ORD10370,Credit Card,Pending,2024-07-30
ORD10371,E-wallet,Paid,2023-11-26
ORD10372,Credit Card,Paid,2024-01-16
ORD10373,Credit Card,Paid,2024-11-06
ORD10374,Credit Card,Paid,2024-08-01
ORD10375,Credit Card,Paid,2025-03-08
ORD10376,E-wallet,Paid,2023-08-27
ORD10377,E-wallet,Paid,2024-06-18
ORD10378,Bank Transfer,Pending,2024-12-03
ORD10379,E-wallet,Paid,2023-03-25
ORD10380,E-wallet,Pending,2023-12-30
ORD10381,Bank Transfer,Paid,2024-05-21
ORD10382,E-wallet,Failed,2023-07-23
ORD10383,Credit Card,Paid,2024-05-18
ORD10384,Cash,Paid,2024-10-08
ORD10385,Cash,Paid,2023-02-06
ORD10386,Bank Transfer,Paid,2024-10-06
ORD10387,E-wallet,Paid,2024-08-13
ORD10388,E-wallet,Paid,2024-08-24
ORD10389,Bank Transfer,Paid,2024-02-09
ORD10390,Cash,Paid,2025-02-06
ORD10391,Credit Card,Pending,2025-05-09
ORD10392,E-wallet,Paid,2024-12-07
ORD10393,Bank Transfer,Paid,2023-06-25
ORD10394,Credit Card,Paid,2024-06-29
ORD10395,Bank Transfer,Paid,2024-07-25
ORD10396,Bank Transfer,Paid,2024-04-14
ORD10397,Bank Transfer,Paid,2023-07-23
ORD10398,Cash,Paid,2024-06-24
ORD10399,Cash,Paid,2024-07-01
ORD10400,Bank Transfer,Paid,2024-09-29
ORD10401,E-wallet,Paid,2024-01-31
ORD10402,Credit Card,Paid,2025-04-14
ORD10403,E-wallet,Paid,2023-02-11
ORD10404,Cash,Paid,2024-08-20
ORD10405,Credit Card,Failed,2024-01-28
ORD10406,Bank Transfer,Failed,2024-12-04
ORD10407,E-wallet,Paid,2024-09-16
ORD10408,E-wallet,Paid,2025-02-24
ORD10409,Bank Transfer,Paid,2024-03-20
ORD10410,E-wallet,Paid,2025-04-19
ORD10411,Cash,Paid,2024-09-12
ORD10412,Bank Transfer,Paid,2024-05-20
ORD10413,E-wallet,Paid,2023-11-16
ORD10414,Bank Transfer,Paid,2024-07-08
ORD10415,Credit Card,Paid,2023-08-06
ORD10416,Bank Transfer,Paid,2023-03-16
ORD10417,E-wallet,Paid,2024-07-22
ORD10418,Cash,Paid,2023-08-25
ORD10419,Bank Transfer,Paid,2023-10-10
ORD10420,Bank Transfer,Paid,2024-09-11
ORD10421,E-wallet,Paid,2025-06-21
ORD10422,Cash,Paid,2025-06-07
ORD10423,Cash,Paid,2023-06-13
ORD10424,Credit Card,Paid,2023-07-13
ORD10425,Credit Card,Paid,2023-01-10
ORD10426,E-wallet,Paid,2023-03-02
ORD10427,Cash,Paid,2025-06-12
ORD10428,Cash,Paid,2025-03-27
ORD10429,Credit Card,Pending,2023-08-14
ORD10430,Credit Card,Failed,2025-04-02
ORD10431,E-wallet,Paid,2024-11-30
ORD10432,Cash,Failed,2024-08-04
ORD10433,Bank Transfer,Paid,2025-03-15
ORD10434,Credit Card,Paid,2023-10-14
ORD10435,E-wallet,Paid,2023-06-20
ORD10436,Cash,Pending,2023-03-07
ORD10437,Cash,Paid,2023-12-18
ORD10438,Credit Card,Paid,2024-03-18
ORD10439,E-wallet,Paid,2023-01-14
ORD10440,Bank Transfer,Paid,2023-06-16
ORD10441,Credit Card,Paid,2024-02-26
ORD10442,E-wallet,Paid,2025-01-29
ORD10443,Cash,Paid,2025-04-26
ORD10444,Bank Transfer,Paid,2024-06-07
ORD10445,E-wallet,Paid,2024-10-30
ORD10446,Bank Transfer,Paid,2024-07-01
ORD10447,E-wallet,Paid,2024-07-13
ORD10448,E-wallet,Paid,2024-08-20
ORD10449,E-wallet,Paid,2023-01-29
ORD10450,E-wallet,Paid,2024-12-12
ORD10451,Bank Transfer,Paid,2024-03-22
ORD10452,Credit Card,Paid,2023-07-31
ORD10453,Bank Transfer,Pending,2024-04-16
ORD10454,E-wallet,Pending,2024-12-18
ORD10455,Bank Transfer,Paid,2025-03-30
ORD10456,Bank Transfer,Paid,2023-04-16
ORD10457,Bank Transfer,Pending,2025-01-14
ORD10458,E-wallet,Pending,2024-03-04
ORD10459,Bank Transfer,Pending,2023-04-14
ORD10460,Cash,Paid,2024-06-26
ORD10461,E-wallet,Paid,2024-10-03
ORD10462,Bank Transfer,Paid,2025-05-03
ORD10463,Cash,Paid,2024-06-05
ORD10464,Bank Transfer,Paid,2023-04-17
ORD10465,Credit Card,Paid,2024-11-13
ORD10466,Bank Transfer,Paid,2025-02-10
ORD10467,Bank Transfer,Paid,2025-03-17
ORD10468,Credit Card,Paid,2023-10-05
ORD10469,E-wallet,Paid,2023-03-10
ORD10470,Credit Card,Paid,2025-02-22
ORD10471,E-wallet,Paid,2025-06-20
ORD10472,Credit Card,Paid,2023-07-10
ORD10473,Bank Transfer,Paid,2023-11-17
ORD10474,Bank Transfer,Paid,2023-05-22
ORD10475,E-wallet,Paid,2023-12-09
ORD10476,E-wallet,Paid,2023-04-15
ORD10477,Cash,Paid,2024-06-29
ORD10478,Cash,Paid,2024-01-16
ORD10479,Bank Transfer,Paid,2023-04-23
ORD10480,Bank Transfer,Pending,2024-06-29
ORD10481,Cash,Paid,2023-12-23
ORD10482,Cash,Paid,2025-01-16
ORD10483,E-wallet,Paid,2023-11-14
ORD10484,Credit Card,Paid,2023-09-24
ORD10485,E-wallet,Paid,2024-11-25
ORD10486,Cash,Pending,2025-05-03
ORD10487,Bank Transfer,Paid,2023-03-09
ORD10488,Cash,Paid,2023-12-02
ORD10489,Bank Transfer,Paid,2024-05-28
ORD10490,Bank Transfer,Paid,2023-05-15
ORD10491,Bank Transfer,Paid,2024-08-15
ORD10492,Bank Transfer,Paid,2025-02-24
ORD10493,Credit Card,Paid,2025-01-26
ORD10494,Cash,Paid,2024-06-25
ORD10495,E-wallet,Pending,2025-01-06
ORD10496,Bank Transfer,Paid,2024-06-19
ORD10497,Bank Transfer,Paid,2024-05-14
ORD10498,E-wallet,Paid,2024-09-15
ORD10499,E-wallet,Paid,2024-09-10
ORD10500,Bank Transfer,Paid,2024-10-21
ORD10501,E-wallet,Paid,2024-01-07
ORD10502,E-wallet,Paid,2025-05-19
ORD10503,Credit Card,Paid,2025-06-29
ORD10504,E-wallet,Paid,2025-07-01
ORD10505,Cash,Paid,2024-10-14
ORD10506,Cash,Paid,2025-03-10
ORD10507,Cash,Paid,2025-03-24
ORD10508,Bank Transfer,Failed,2023-04-10
ORD10509,Cash,Paid,2023-11-13
ORD10510,Credit Card,Paid,2023-05-07
ORD10511,Cash,Paid,2023-11-20
ORD10512,Bank Transfer,Paid,2025-03-11
ORD10513,Credit Card,Paid,2024-08-19
ORD10514,Cash,Pending,2024-05-12
ORD10515,Credit Card,Paid,2024-04-02
ORD10516,Credit Card,Failed,2024-06-06
ORD10517,Bank Transfer,Paid,2024-06-06
ORD10518,Bank Transfer,Paid,2024-12-21
ORD10519,Credit Card,Paid,2023-11-11
ORD10520,Cash,Paid,2024-12-13
ORD10521,Bank Transfer,Paid,2024-12-11
ORD10522,Credit Card,Pending,2024-06-25
ORD10523,E-wallet,Paid,2024-04-25
ORD10524,E-wallet,Pending,2023-01-22
ORD10525,Bank Transfer,Pending,2024-07-17
ORD10526,Cash,Failed,2023-05-14
ORD10527,E-wallet,Paid,2023-10-20
ORD10528,E-wallet,Paid,2025-06-15
ORD10529,E-wallet,Paid,2023-05-16
ORD10530,Cash,Paid,2023-12-23
ORD10531,Cash,Paid,2023-02-25
ORD10532,Bank Transfer,Paid,2025-06-08
ORD10533,Bank Transfer,Paid,2025-03-04
ORD10534,E-wallet,Pending,2024-01-26
ORD10535,Cash,Pending,2023-09-25
ORD10536,Credit Card,Paid,2023-08-03
ORD10537,E-wallet,Paid,2024-04-07
ORD10538,Bank Transfer,Paid,2024-04-03
ORD10539,Cash,Paid,2025-03-14
ORD10540,Bank Transfer,Paid,2023-02-13
ORD10541,Bank Transfer,Paid,2024-08-10
ORD10542,Cash,Paid,2025-05-12
ORD10543,E-wallet,Paid,2023-10-05
ORD10544,Cash,Paid,2025-04-17
ORD10545,E-wallet,Paid,2025-01-26
ORD10546,Bank Transfer,Failed,2023-05-11
ORD10547,Cash,Paid,2023-12-17
ORD10548,Credit Card,Paid,2024-12-09
ORD10549,E-wallet,Paid,2024-07-01
ORD10550,Credit Card,Paid,2023-04-17
ORD10551,E-wallet,Paid,2025-07-01
ORD10552,Cash,Paid,2024-12-17
ORD10553,Credit Card,Paid,2023-01-05
ORD10554,Cash,Paid,2025-01-26
ORD10555,E-wallet,Paid,2024-08-09
ORD10556,E-wallet,Paid,2024-03-11
ORD10557,E-wallet,Paid,2023-11-04
ORD10558,E-wallet,Paid,2025-06-29
ORD10559,Bank Transfer,Paid,2024-06-14
ORD10560,E-wallet,Paid,2023-02-26
ORD10561,Credit Card,Pending,2024-06-03
ORD10562,E-wallet,Paid,2023-11-28
ORD10563,Cash,Pending,2024-07-14
ORD10564,Bank Transfer,Paid,2023-11-22
ORD10565,Credit Card,Pending,2023-04-25
ORD10566,Bank Transfer,Paid,2023-05-27
ORD10567,Bank Transfer,Paid,2023-06-15
ORD10568,Bank Transfer,Pending,2024-01-16
ORD10569,Cash,Paid,2023-05-22
ORD10570,Bank Transfer,Paid,2024-09-23
ORD10571,Bank Transfer,Paid,2023-10-30
ORD10572,E-wallet,Paid,2023-10-03
ORD10573,Cash,Paid,2025-02-28
ORD10574,Credit Card,Paid,2025-04-30
ORD10575,Credit Card,Pending,2025-04-06
ORD10576,Credit Card,Paid,2023-06-28
ORD10577,Cash,Failed,2025-04-24
ORD10578,Credit Card,Pending,2023-12-23
ORD10579,Cash,Paid,2023-06-03
ORD10580,E-wallet,Paid,2023-07-22
ORD10581,E-wallet,Paid,2025-05-28
ORD10582,Cash,Paid,2023-04-25
ORD10583,Credit Card,Paid,2024-11-05
ORD10584,Cash,Paid,2024-07-11
ORD10585,Cash,Paid,2025-01-29
ORD10586,Bank Transfer,Paid,2023-03-10
ORD10587,Cash,Paid,2024-03-21
ORD10588,Bank Transfer,Paid,2024-03-23
ORD10589,E-wallet,Paid,2023-11-23
ORD10590,Bank Transfer,Paid,2025-04-29
ORD10591,Cash,Paid,2024-12-09
ORD10592,E-wallet,Failed,2024-08-26
ORD10593,Bank Transfer,Paid,2024-09-18
ORD10594,Cash,Paid,2025-05-31
ORD10595,E-wallet,Paid,2023-12-29
ORD10596,Bank Transfer,Failed,2023-05-25
ORD10597,Cash,Paid,2023-10-06
ORD10598,Cash,Paid,2024-05-27
ORD10599,Credit Card,Failed,2023-06-30
ORD10600,Credit Card,Paid,2025-01-24
ORD10601,Bank Transfer,Paid,2025-04-21
ORD10602,Bank Transfer,Paid,2025-04-14
ORD10603,Bank Transfer,Pending,2024-04-24
ORD10604,Cash,Paid,2025-04-22
