order_id,shipping_date,shipping_fee,shipping_status
ORD10109,2023-07-25,5.66,Pending
ORD10110,2024-10-26,2.59,Delayed
ORD10111,2024-07-14,18.52,Cancelled
ORD10112,2023-04-27,16.5,Shipped
ORD10113,2023-04-03,10.69,Shipped
ORD10114,2023-05-23,4.15,Delayed
ORD10115,2023-10-16,12.3,Cancelled
ORD10116,2025-06-25,2.08,Pending
ORD10117,2025-01-01,6.15,Cancelled
ORD10118,2024-08-13,6.15,Pending
ORD10119,2024-02-18,7.73,Cancelled
ORD10120,2024-01-15,16.32,Cancelled
ORD10121,2024-01-22,6.62,Delayed
ORD10122,2025-04-30,4.99,Pending
ORD10123,2023-06-01,6.99,Pending
ORD10124,2025-04-17,4.9,Shipped
ORD10125,2025-01-26,16.61,Delayed
ORD10126,2024-09-24,3.08,Shipped
ORD10127,2023-11-21,3.16,Shipped
ORD10128,2024-01-10,13.16,Shipped
ORD10129,2024-09-01,8.2,Cancelled
ORD10130,2024-07-13,2.95,Cancelled
ORD10131,2024-12-06,13.34,Pending
ORD10132,2024-04-11,2.0,Shipped
ORD10133,2023-01-12,7.85,Pending
ORD10134,2023-06-07,4.35,Delayed
ORD10135,2024-11-14,6.03,Cancelled
ORD10136,2024-04-25,15.9,Cancelled
ORD10137,2024-02-09,13.43,Pending
ORD10138,2025-03-24,15.22,Delayed
ORD10139,2023-06-30,16.51,Delayed
ORD10140,2023-12-07,13.73,Delayed
ORD10141,2023-03-01,15.72,Shipped
ORD10142,2025-05-06,3.35,Cancelled
ORD10143,2025-05-06,3.06,Delayed
ORD10144,2024-03-29,13.69,Delayed
ORD10145,2023-07-25,6.13,Pending
ORD10146,2024-11-29,8.85,Shipped
ORD10147,2024-09-28,11.14,Delayed
ORD10148,2025-01-12,6.98,Cancelled
ORD10149,2023-07-23,15.5,Delayed
ORD10150,2023-11-27,11.17,Pending
ORD10151,2024-01-01,8.63,Pending
ORD10152,2025-06-15,14.68,Delayed
ORD10153,2024-03-31,2.14,Shipped
ORD10154,2023-12-25,6.12,Delayed
ORD10155,2023-08-06,19.38,Pending
ORD10156,2024-07-13,16.18,Pending
ORD10157,2025-06-11,4.7,Delayed
ORD10158,2023-01-28,12.27,Delayed
ORD10159,2023-06-07,10.71,Pending
ORD10160,2023-07-07,19.03,Delayed
ORD10161,2023-09-07,17.64,Pending
ORD10162,2025-01-22,10.65,Shipped
ORD10163,2025-03-21,7.39,Cancelled
ORD10164,2023-05-15,7.01,Cancelled
ORD10165,2023-11-17,14.61,Shipped
ORD10166,2024-01-30,12.13,Cancelled
ORD10167,2024-03-09,16.36,Delayed
ORD10168,2023-01-26,5.93,Delayed
ORD10169,2025-05-26,18.33,Delayed
ORD10170,2024-08-28,4.44,Cancelled
ORD10171,2024-10-27,10.35,Cancelled
ORD10172,2023-05-06,5.81,Delayed
ORD10173,2023-03-21,11.74,Delayed
ORD10174,2025-05-07,16.09,Pending
ORD10175,2023-02-24,1.64,Cancelled
ORD10176,2025-01-03,6.36,Shipped
ORD10177,2023-06-26,1.93,Shipped
ORD10178,2025-05-20,8.34,Pending
ORD10179,2023-09-13,8.41,Cancelled
ORD10180,2023-09-04,3.39,Cancelled
ORD10181,2025-01-08,7.92,Delayed
ORD10182,2023-04-19,16.24,Cancelled
ORD10183,2023-07-16,9.79,Pending
ORD10184,2023-11-14,15.92,Delayed
ORD10185,2023-10-29,18.16,Delayed
ORD10186,2024-07-02,13.41,Cancelled
ORD10187,2024-12-19,1.39,Shipped
ORD10188,2025-02-20,3.65,Shipped
ORD10189,2023-09-29,17.83,Delayed
ORD10190,2023-06-21,1.46,Pending
ORD10191,2024-07-09,17.33,Delayed
ORD10192,2024-04-01,16.39,Delayed
ORD10193,2024-10-17,14.89,Cancelled
ORD10194,2023-10-20,1.83,Cancelled
ORD10195,2024-07-21,2.15,Pending
ORD10196,2025-03-11,3.69,Delayed
ORD10197,2025-03-14,9.91,Cancelled
ORD10198,2023-05-23,11.71,Cancelled
ORD10199,2023-05-26,19.09,Delayed
ORD10200,2024-03-05,13.7,Shipped
ORD10201,2023-11-14,14.43,Delayed
ORD10202,2023-07-03,4.82,Cancelled
ORD10203,2024-10-29,15.7,Pending
ORD10204,2024-12-16,3.5,Shipped
ORD10205,2023-05-14,13.33,Pending
ORD10206,2023-10-14,15.24,Delayed
ORD10207,2025-04-08,5.68,Delayed
ORD10208,2023-09-14,19.01,Pending
ORD10209,2025-02-17,9.74,Delayed
ORD10210,2024-12-02,3.95,Pending
ORD10211,2024-01-23,9.12,Cancelled
ORD10212,2023-08-19,12.24,Delayed
ORD10213,2023-09-30,11.83,Delayed
ORD10214,2025-02-15,7.39,Delayed
ORD10215,2025-03-21,12.49,Delayed
ORD10216,2024-02-19,14.51,Delayed
ORD10217,2023-07-20,17.01,Shipped
ORD10218,2023-11-25,4.29,Pending
ORD10219,2023-03-03,14.79,Cancelled
ORD10220,2025-04-12,14.48,Delayed
ORD10221,2023-07-23,13.94,Pending
ORD10222,2025-02-21,9.35,Shipped
ORD10223,2024-09-13,11.05,Pending
ORD10224,2024-09-21,17.15,Delayed
ORD10225,2024-08-27,18.14,Pending
ORD10226,2023-05-19,5.05,Pending
ORD10227,2024-02-28,8.49,Pending
ORD10228,2025-03-25,10.04,Shipped
ORD10229,2023-03-02,9.77,Delayed
ORD10230,2024-07-18,14.5,Delayed
ORD10231,2023-03-18,19.59,Delayed
ORD10232,2025-06-30,14.84,Cancelled
ORD10233,2024-08-20,7.39,Delayed
ORD10234,2024-01-13,2.89,Pending
ORD10235,2024-09-09,11.5,Pending
ORD10236,2024-08-27,10.59,Shipped
ORD10237,2024-06-03,19.33,Delayed
ORD10238,2025-05-26,1.12,Pending
ORD10239,2023-03-31,14.44,Pending
ORD10240,2023-02-18,11.11,Pending
ORD10241,2024-10-31,1.72,Delayed
ORD10242,2025-04-21,13.9,Delayed
ORD10243,2024-08-28,12.17,Pending
ORD10244,2025-03-21,16.07,Pending
ORD10245,2023-05-14,9.4,Cancelled
ORD10246,2024-02-05,10.32,Delayed
ORD10247,2023-03-09,4.47,Pending
ORD10248,2023-10-20,7.05,Delayed
ORD10249,2024-01-17,5.12,Pending
ORD10250,2025-02-13,16.58,Cancelled
ORD10251,2024-04-11,4.68,Pending
ORD10252,2025-06-20,14.59,Pending
ORD10253,2023-08-04,12.55,Pending
ORD10254,2023-05-31,2.52,Delayed
ORD10255,2024-07-27,3.27,Shipped
ORD10256,2024-04-15,3.62,Shipped
ORD10257,2023-05-29,10.3,Pending
ORD10258,2023-04-02,2.29,Pending
ORD10259,2023-11-22,17.99,Delayed
ORD10260,2025-06-19,19.12,Cancelled
ORD10261,2024-02-06,19.17,Cancelled
ORD10262,2025-03-06,19.45,Delayed
ORD10263,2024-02-13,5.11,Cancelled
ORD10264,2023-03-29,2.3,Delayed
ORD10265,2024-10-07,10.05,Shipped
ORD10266,2023-10-15,19.42,Delayed
ORD10267,2024-01-20,4.45,Pending
ORD10268,2025-05-20,2.24,Cancelled
ORD10269,2025-03-05,5.22,Delayed
ORD10270,2023-10-01,1.98,Pending
ORD10271,2023-10-23,16.98,Cancelled
ORD10272,2024-03-31,9.54,Pending
ORD10273,2024-12-19,3.0,Pending
ORD10274,2023-01-27,12.63,Pending
ORD10275,2025-05-13,17.89,Delayed
ORD10276,2023-11-12,18.89,Delayed
ORD10277,2024-04-06,10.83,Shipped
ORD10278,2023-07-29,17.98,Pending
ORD10279,2025-03-05,14.0,Cancelled
ORD10280,2024-12-19,13.73,Delayed
ORD10281,2024-10-26,12.52,Shipped
ORD10282,2024-03-14,10.98,Cancelled
ORD10283,2024-06-26,11.34,Shipped
ORD10284,2024-12-07,1.0,Shipped
ORD10285,2023-12-04,9.97,Pending
ORD10286,2024-02-26,1.52,Cancelled
ORD10287,2025-01-21,2.62,Pending
ORD10288,2023-11-19,18.93,Shipped
ORD10289,2024-05-11,10.93,Delayed
ORD10290,2024-08-12,7.6,Pending
ORD10291,2023-06-12,12.33,Delayed
ORD10292,2025-03-21,11.83,Shipped
ORD10293,2024-06-27,3.5,Pending
ORD10294,2023-06-15,2.43,Delayed
ORD10295,2025-05-01,16.4,Cancelled
ORD10296,2024-12-04,18.98,Shipped
ORD10297,2024-07-21,9.74,Cancelled
ORD10298,2023-10-23,16.0,Shipped
ORD10299,2023-02-14,4.76,Pending
ORD10300,2023-10-17,1.26,Shipped
ORD10301,2024-01-28,16.09,Shipped
ORD10302,2023-05-24,17.83,Delayed
ORD10303,2023-07-07,18.84,Cancelled
ORD10304,2025-06-29,7.39,Pending
ORD10305,2024-12-21,19.14,Delayed
ORD10306,2024-03-11,3.31,Pending
ORD10307,2024-07-08,18.72,Shipped
ORD10308,2025-05-15,9.43,Cancelled
ORD10309,2024-02-23,10.38,Delayed
ORD10310,2025-03-16,10.8,Cancelled
ORD10311,2024-03-07,7.17,Delayed
ORD10312,2024-02-21,19.04,Shipped
ORD10313,2023-01-27,12.17,Shipped
ORD10314,2024-01-12,6.77,Shipped
ORD10315,2024-01-22,6.64,Cancelled
ORD10316,2023-02-26,4.34,Pending
ORD10317,2023-09-16,8.43,Delayed
ORD10318,2024-09-25,13.87,Pending
ORD10319,2023-04-16,9.46,Cancelled
ORD10320,2023-05-12,19.15,Shipped
ORD10321,2025-05-03,11.26,Shipped
ORD10322,2024-11-05,6.47,Pending
ORD10323,2024-01-15,1.75,Pending
ORD10324,2025-01-12,13.37,Delayed
ORD10325,2023-11-06,15.54,Delayed
ORD10326,2023-04-01,18.35,Delayed
ORD10327,2024-01-28,18.23,Pending
ORD10328,2024-06-17,3.01,Cancelled
ORD10329,2025-03-16,5.96,Pending
ORD10330,2023-04-22,18.65,Pending
ORD10331,2024-07-15,17.31,Delayed
ORD10332,2024-10-08,3.03,Cancelled
ORD10333,2024-08-11,9.53,Shipped
ORD10334,2023-12-08,9.39,Cancelled
ORD10335,2024-07-24,11.71,Delayed
ORD10336,2023-12-26,11.13,Cancelled
ORD10337,2025-06-12,6.14,Shipped
ORD10338,2023-06-18,19.2,Shipped
ORD10339,2024-07-10,2.04,Cancelled
ORD10340,2024-03-30,9.7,Pending
ORD10341,2025-06-23,19.59,Delayed
ORD10342,2023-04-18,19.04,Cancelled
ORD10343,2023-06-01,12.87,Cancelled
ORD10344,2023-05-29,11.22,Delayed
ORD10345,2024-12-18,5.12,Cancelled
ORD10346,2025-05-29,2.0,Pending
ORD10347,2023-10-28,6.3,Pending
ORD10348,2023-06-22,17.7,Shipped
ORD10349,2024-12-13,9.19,Delayed
ORD10350,2024-10-11,7.77,Pending
ORD10351,2024-12-29,18.6,Delayed
ORD10352,2023-02-18,19.66,Cancelled
ORD10353,2024-10-04,11.39,Delayed
ORD10354,2023-08-29,9.37,Delayed
ORD10355,2023-01-13,1.75,Pending
ORD10356,2024-04-08,8.39,Shipped
ORD10357,2024-03-28,16.23,Cancelled
ORD10358,2025-02-27,8.09,Pending
ORD10359,2025-06-19,19.73,Pending
ORD10360,2024-01-12,15.38,Pending
ORD10361,2024-07-07,13.7,Pending
ORD10362,2024-05-02,9.92,Pending
ORD10363,2023-08-04,19.31,Cancelled
ORD10364,2023-06-19,3.24,Delayed
ORD10365,2023-05-07,8.4,Cancelled
ORD10366,2023-12-05,19.81,Shipped
ORD10367,2023-07-13,3.93,Pending
ORD10368,2025-01-05,1.09,Delayed
ORD10369,2023-08-04,9.7,Delayed
ORD10370,2024-08-02,15.97,Shipped
ORD10371,2023-11-28,7.98,Pending
ORD10372,2024-01-18,14.41,Pending
ORD10373,2024-11-05,7.47,Cancelled
ORD10374,2024-08-05,8.23,Shipped
ORD10375,2025-03-12,12.03,Shipped
ORD10376,2023-08-28,17.63,Delayed
ORD10377,2024-06-21,18.42,Pending
ORD10378,2024-12-04,8.74,Shipped
ORD10379,2023-03-24,14.26,Pending
ORD10380,2024-01-04,1.59,Delayed
ORD10381,2024-05-23,2.39,Pending
ORD10382,2023-07-23,16.61,Cancelled
ORD10383,2024-05-22,7.43,Pending
ORD10384,2024-10-10,3.38,Delayed
ORD10385,2023-02-07,9.24,Delayed
ORD10386,2024-10-08,12.71,Cancelled
ORD10387,2024-08-16,17.45,Cancelled
ORD10388,2024-08-29,16.51,Shipped
ORD10389,2024-02-09,14.99,Shipped
ORD10390,2025-02-04,9.1,Shipped
ORD10391,2025-05-05,10.48,Cancelled
ORD10392,2024-12-06,2.89,Delayed
ORD10393,2023-06-27,15.96,Pending
ORD10394,2024-06-29,17.57,Shipped
ORD10395,2024-07-29,19.86,Delayed
ORD10396,2024-04-12,14.93,Shipped
ORD10397,2023-07-22,14.86,Cancelled
ORD10398,2024-06-25,19.84,Delayed
ORD10399,2024-07-01,4.74,Cancelled
ORD10400,2024-09-29,2.57,Cancelled
ORD10401,2024-02-04,5.53,Cancelled
ORD10402,2025-04-18,9.3,Shipped
ORD10403,2023-02-13,18.22,Cancelled
ORD10404,2024-08-23,14.45,Delayed
ORD10405,2024-01-30,16.82,Delayed
ORD10406,2024-12-05,5.84,Delayed
ORD10407,2024-09-14,16.83,Cancelled
ORD10408,2025-02-27,9.15,Pending
ORD10409,2024-03-21,6.52,Cancelled
ORD10410,2025-04-19,6.84,Delayed
ORD10411,2024-09-08,4.24,Delayed
ORD10412,2024-05-24,17.77,Shipped
ORD10413,2023-11-21,5.76,Cancelled
ORD10414,2024-07-11,4.29,Pending
ORD10415,2023-08-07,14.47,Pending
ORD10416,2023-03-13,2.56,Pending
ORD10417,2024-07-21,3.59,Pending
ORD10418,2023-08-29,11.95,Pending
ORD10419,2023-10-12,3.33,Shipped
ORD10420,2024-09-10,1.27,Shipped
ORD10421,2025-06-20,5.02,Pending
ORD10422,2025-06-11,13.57,Shipped
ORD10423,2023-06-17,6.5,Delayed
ORD10424,2023-07-11,19.01,Delayed
ORD10425,2023-01-12,18.54,Delayed
ORD10426,2023-03-04,8.98,Cancelled
ORD10427,2025-06-11,2.35,Delayed
ORD10428,2025-03-28,3.1,Cancelled
ORD10429,2023-08-18,13.35,Cancelled
ORD10430,2025-04-03,8.42,Delayed
ORD10431,2024-12-04,7.0,Pending
ORD10432,2024-08-05,11.96,Shipped
ORD10433,2025-03-20,8.64,Delayed
ORD10434,2023-10-20,8.04,Cancelled
ORD10435,2023-06-19,10.34,Cancelled
ORD10436,2023-03-07,15.28,Cancelled
ORD10437,2023-12-20,18.71,Cancelled
ORD10438,2024-03-23,14.67,Cancelled
ORD10439,2023-01-16,8.62,Delayed
ORD10440,2023-06-19,10.13,Cancelled
ORD10441,2024-02-27,1.89,Delayed
ORD10442,2025-01-30,3.39,Delayed
ORD10443,2025-05-02,17.15,Pending
ORD10444,2024-06-05,12.14,Delayed
ORD10445,2024-10-27,7.26,Delayed
ORD10446,2024-07-02,18.6,Shipped
ORD10447,2024-07-17,10.33,Shipped
ORD10448,2024-08-23,6.46,Cancelled
ORD10449,2023-02-01,11.06,Cancelled
ORD10450,2024-12-12,19.93,Cancelled
ORD10451,2024-03-27,7.85,Delayed
ORD10452,2023-07-31,3.69,Shipped
ORD10453,2024-04-16,9.19,Delayed
ORD10454,2024-12-20,14.15,Cancelled
ORD10455,2025-04-04,17.92,Pending
ORD10456,2023-04-15,12.3,Cancelled
ORD10457,2025-01-12,15.89,Pending
ORD10458,2024-03-04,13.26,Cancelled
ORD10459,2023-04-16,15.92,Delayed
ORD10460,2024-06-26,1.66,Cancelled
ORD10461,2024-10-03,16.21,Pending
ORD10462,2025-05-05,6.8,Cancelled
ORD10463,2024-06-11,4.84,Shipped
ORD10464,2023-04-17,5.67,Shipped
ORD10465,2024-11-13,5.88,Shipped
ORD10466,2025-02-10,4.69,Pending
ORD10467,2025-03-19,20.0,Pending
ORD10468,2023-10-07,5.59,Shipped
ORD10469,2023-03-11,18.04,Shipped
ORD10470,2025-02-21,18.51,Delayed
ORD10471,2025-06-23,13.7,Cancelled
ORD10472,2023-07-10,7.72,Delayed
ORD10473,2023-11-14,7.52,Cancelled
ORD10474,2023-05-18,7.08,Pending
ORD10475,2023-12-14,14.23,Delayed
ORD10476,2023-04-18,3.92,Cancelled
ORD10477,2024-07-04,2.98,Shipped
ORD10478,2024-01-16,6.25,Cancelled
ORD10479,2023-04-25,12.56,Delayed
ORD10480,2024-07-03,7.58,Pending
ORD10481,2023-12-23,7.03,Cancelled
ORD10482,2025-01-12,19.2,Pending
ORD10483,2023-11-18,13.35,Cancelled
ORD10484,2023-09-29,14.54,Shipped
ORD10485,2024-11-28,13.48,Delayed
ORD10486,2025-05-06,7.63,Cancelled
ORD10487,2023-03-06,19.15,Cancelled
ORD10488,2023-12-05,19.49,Pending
ORD10489,2024-05-27,13.48,Pending
ORD10490,2023-05-19,16.35,Delayed
ORD10491,2024-08-19,14.5,Cancelled
ORD10492,2025-02-24,13.62,Shipped
ORD10493,2025-01-28,9.82,Pending
ORD10494,2024-06-26,7.21,Cancelled
ORD10495,2025-01-10,18.18,Shipped
ORD10496,2024-06-22,12.4,Shipped
ORD10497,2024-05-16,15.72,Cancelled
ORD10498,2024-09-15,3.45,Cancelled
ORD10499,2024-09-14,18.75,Delayed
ORD10500,2024-10-21,13.04,Cancelled
ORD10501,2024-01-04,14.37,Pending
ORD10502,2025-05-21,12.25,Cancelled
ORD10503,2025-06-29,16.23,Delayed
ORD10504,2025-07-04,3.61,Delayed
ORD10505,2024-10-15,16.89,Cancelled
ORD10506,2025-03-07,19.36,Cancelled
ORD10507,2025-03-24,4.63,Cancelled
ORD10508,2023-04-14,11.73,Shipped
ORD10509,2023-11-15,2.72,Shipped
ORD10510,2023-05-06,3.49,Cancelled
ORD10511,2023-11-21,16.45,Shipped
ORD10512,2025-03-15,13.91,Delayed
ORD10513,2024-08-19,17.27,Pending
ORD10514,2024-05-11,16.9,Pending
ORD10515,2024-04-05,11.26,Cancelled
ORD10516,2024-06-11,4.02,Pending
ORD10517,2024-06-09,3.36,Delayed
ORD10518,2024-12-18,13.1,Shipped
ORD10519,2023-11-15,13.04,Delayed
ORD10520,2024-12-12,14.89,Cancelled
ORD10521,2024-12-16,4.26,Delayed
ORD10522,2024-06-25,16.49,Delayed
ORD10523,2024-04-26,8.92,Pending
ORD10524,2023-01-23,3.86,Shipped
ORD10525,2024-07-16,8.42,Cancelled
ORD10526,2023-05-10,8.75,Pending
ORD10527,2023-10-22,12.43,Delayed
ORD10528,2025-06-21,1.69,Pending
ORD10529,2023-05-16,6.47,Pending
ORD10530,2023-12-22,8.28,Delayed
ORD10531,2023-02-26,5.57,Shipped
ORD10532,2025-06-10,19.13,Shipped
ORD10533,2025-03-04,5.47,Cancelled
ORD10534,2024-01-22,6.96,Delayed
ORD10535,2023-09-23,2.25,Delayed
ORD10536,2023-08-07,17.99,Shipped
ORD10537,2024-04-05,3.68,Delayed
ORD10538,2024-04-07,11.06,Pending
ORD10539,2025-03-12,15.31,Delayed
ORD10540,2023-02-16,1.94,Delayed
ORD10541,2024-08-12,8.01,Pending
ORD10542,2025-05-14,15.01,Pending
ORD10543,2023-10-11,18.89,Shipped
ORD10544,2025-04-17,17.24,Cancelled
ORD10545,2025-01-23,1.46,Delayed
ORD10546,2023-05-16,6.13,Delayed
ORD10547,2023-12-18,18.63,Pending
ORD10548,2024-12-09,2.63,Shipped
ORD10549,2024-07-03,9.89,Shipped
ORD10550,2023-04-19,13.72,Pending
ORD10551,2025-07-04,5.48,Delayed
ORD10552,2024-12-22,14.35,Pending
ORD10553,2023-01-02,18.84,Pending
ORD10554,2025-01-28,15.37,Cancelled
ORD10555,2024-08-06,10.02,Pending
ORD10556,2024-03-13,10.3,Delayed
ORD10557,2023-11-08,7.52,Cancelled
ORD10558,2025-07-03,8.56,Cancelled
ORD10559,2024-06-16,3.42,Delayed
ORD10560,2023-02-24,10.04,Pending
ORD10561,2024-06-03,7.41,Delayed
ORD10562,2023-11-30,11.59,Shipped
ORD10563,2024-07-16,6.47,Shipped
ORD10564,2023-11-24,4.41,Cancelled
ORD10565,2023-04-30,8.72,Shipped
ORD10566,2023-06-02,7.45,Pending
ORD10567,2023-06-17,12.02,Pending
ORD10568,2024-01-19,12.54,Pending
ORD10569,2023-05-22,9.79,Shipped
ORD10570,2024-09-21,16.81,Shipped
ORD10571,2023-11-01,7.57,Shipped
ORD10572,2023-10-07,4.95,Delayed
ORD10573,2025-03-04,16.78,Pending
ORD10574,2025-05-01,13.1,Shipped
ORD10575,2025-04-04,9.3,Cancelled
ORD10576,2023-06-28,12.76,Delayed
ORD10577,2025-04-26,10.58,Delayed
ORD10578,2023-12-24,16.43,Cancelled
ORD10579,2023-06-03,4.59,Shipped
ORD10580,2023-07-20,16.8,Shipped
ORD10581,2025-05-27,5.2,Shipped
ORD10582,2023-04-27,14.08,Shipped
ORD10583,2024-11-01,3.81,Cancelled
ORD10584,2024-07-11,7.59,Pending
ORD10585,2025-02-01,11.78,Delayed
ORD10586,2023-03-13,6.99,Shipped
ORD10587,2024-03-21,19.03,Pending
ORD10588,2024-03-24,2.6,Shipped
ORD10589,2023-11-24,9.01,Pending
ORD10590,2025-04-25,19.68,Shipped
ORD10591,2024-12-12,16.83,Cancelled
ORD10592,2024-08-28,17.27,Delayed
ORD10593,2024-09-17,12.36,Shipped
ORD10594,2025-05-30,1.07,Delayed
ORD10595,2023-12-31,16.85,Pending
ORD10596,2023-05-28,8.48,Pending
ORD10597,2023-10-08,8.45,Delayed
ORD10598,2024-05-25,5.77,Pending
ORD10599,2023-07-03,15.23,Cancelled
ORD10600,2025-01-28,12.18,Delayed
ORD10601,2025-04-20,3.8,Shipped
ORD10602,2025-04-15,13.0,Cancelled
ORD10603,2024-04-26,12.96,Pending
ORD10604,2025-04-28,18.48,Cancelled
ORD10605,2024-02-18,8.56,Pending
ORD10606,2023-06-08,7.06,Cancelled
ORD10607,2023-04-19,10.66,Cancelled
ORD10608,2023-03-16,18.51,Delayed
ORD10609,2023-05-09,13.7,Shipped
ORD10610,2024-12-17,2.07,Pending
ORD10611,2024-11-01,4.58,Delayed
ORD10612,2024-07-22,5.14,Shipped
ORD10613,2025-03-05,1.83,Shipped
ORD10614,2023-12-11,18.09,Cancelled
ORD10615,2024-06-14,5.02,Pending
ORD10616,2023-06-09,7.5,Cancelled
ORD10617,2024-06-23,13.26,Cancelled
ORD10618,2024-03-06,18.7,Delayed
ORD10619,2024-11-15,6.39,Delayed
ORD10620,2023-01-24,11.48,Shipped
ORD10621,2023-02-16,10.11,Delayed
ORD10622,2024-06-10,19.31,Shipped
ORD10623,2025-01-01,5.59,Delayed
ORD10624,2025-04-16,16.27,Pending
ORD10625,2024-12-09,5.18,Delayed
ORD10626,2023-05-27,16.58,Delayed
ORD10627,2024-08-08,13.32,Cancelled
ORD10628,2024-10-29,17.26,Delayed
ORD10629,2024-08-15,18.83,Shipped
ORD10630,2024-02-28,7.35,Cancelled
ORD10631,2024-11-14,14.96,Delayed
ORD10632,2025-03-13,3.3,Delayed
ORD10633,2023-03-31,10.41,Delayed
