order_id,shipping_id,shipping_method,shipping_status,shipping_date
ORD10068,SHP9068,Express,In Transit,2023-06-04
ORD10069,SHP9069,Standard,In Transit,2024-05-31
ORD10070,SHP9070,Express,Delivered,2024-05-20
ORD10071,SHP9071,Same Day,Delivered,2025-05-05
ORD10072,SHP9072,Standard,Delivered,2025-06-25
ORD10073,SHP9073,Same Day,Delivered,2025-02-13
ORD10074,SHP9074,Same Day,Cancelled,2024-11-08
ORD10075,SHP9075,Same Day,Delivered,2023-01-12
ORD10076,SHP9076,Same Day,Delivered,2024-05-18
ORD10077,SHP9077,Express,In Transit,2024-10-27
ORD10078,SHP9078,Same Day,Delivered,2024-12-21
ORD10079,SHP9079,Express,Delivered,2023-05-02
ORD10080,SHP9080,Same Day,Delivered,2024-05-04
ORD10081,SHP9081,Standard,Delivered,2024-08-25
ORD10082,SHP9082,Same Day,Delivered,2024-10-29
ORD10083,SHP9083,Same Day,Delivered,2024-11-12
ORD10084,SHP9084,Standard,Delivered,2024-04-13
ORD10085,SHP9085,Standard,Delivered,2023-06-12
ORD10086,SHP9086,Same Day,In Transit,2023-10-02
ORD10087,SHP9087,Same Day,Delivered,2023-02-26
ORD10088,SHP9088,Express,Delivered,2023-08-21
ORD10089,SHP9089,Standard,Delivered,2025-05-03
ORD10090,SHP9090,Standard,Delivered,2023-06-03
ORD10091,SHP9091,Express,Delivered,2023-02-16
ORD10092,SHP9092,Same Day,In Transit,2023-05-28
ORD10093,SHP9093,Same Day,Delivered,2025-01-25
ORD10094,SHP9094,Standard,Delivered,2025-02-27
ORD10095,SHP9095,Express,Delivered,2024-09-26
ORD10096,SHP9096,Same Day,Failed,2023-12-08
ORD10097,SHP9097,Standard,Delivered,2024-02-23
ORD10098,SHP9098,Same Day,Failed,2025-01-03
ORD10099,SHP9099,Same Day,Delivered,2024-06-05
ORD10100,SHP9100,Same Day,In Transit,2023-12-11
ORD10101,SHP9101,Standard,In Transit,2024-01-25
ORD10102,SHP9102,Express,Delivered,2024-04-20
ORD10103,SHP9103,Express,Delivered,2023-10-08
ORD10104,SHP9104,Same Day,Delivered,2023-12-22
ORD10105,SHP9105,Express,Delivered,2023-03-10
ORD10106,SHP9106,Same Day,Delivered,2023-03-23
ORD10107,SHP9107,Standard,Delivered,2024-08-26
ORD10108,SHP9108,Standard,Delivered,2024-10-01
ORD10109,SHP9109,Standard,Delivered,2023-07-24
ORD10110,SHP9110,Same Day,Delivered,2024-10-26
ORD10111,SHP9111,Express,Delivered,2024-07-12
ORD10112,SHP9112,Standard,Delivered,2023-04-24
ORD10113,SHP9113,Same Day,Delivered,2023-04-04
ORD10114,SHP9114,Express,Delivered,2023-05-25
ORD10115,SHP9115,Express,Delivered,2023-10-19
ORD10116,SHP9116,Express,Delivered,2025-06-22
ORD10117,SHP9117,Same Day,Delivered,2025-01-02
ORD10118,SHP9118,Same Day,In Transit,2024-08-16
ORD10119,SHP9119,Same Day,Delivered,2024-02-19
ORD10120,SHP9120,Standard,Delivered,2024-01-14
ORD10121,SHP9121,Same Day,Delivered,2024-01-22
ORD10122,SHP9122,Standard,Delivered,2025-04-27
ORD10123,SHP9123,Standard,Delivered,2023-06-05
ORD10124,SHP9124,Standard,Delivered,2025-04-17
ORD10125,SHP9125,Same Day,Delivered,2025-01-22
ORD10126,SHP9126,Standard,Delivered,2024-09-24
ORD10127,SHP9127,Same Day,Delivered,2023-11-17
ORD10128,SHP9128,Same Day,Delivered,2024-01-08
ORD10129,SHP9129,Standard,Delivered,2024-08-31
ORD10130,SHP9130,Standard,In Transit,2024-07-18
ORD10131,SHP9131,Standard,Delivered,2024-12-07
ORD10132,SHP9132,Same Day,Delivered,2024-04-11
ORD10133,SHP9133,Same Day,Delivered,2023-01-15
ORD10134,SHP9134,Standard,In Transit,2023-06-07
ORD10135,SHP9135,Standard,Delivered,2024-11-20
ORD10136,SHP9136,Express,Delivered,2024-04-27
ORD10137,SHP9137,Standard,Delivered,2024-02-09
ORD10138,SHP9138,Express,Cancelled,2025-03-22
ORD10139,SHP9139,Express,Delivered,2023-06-30
ORD10140,SHP9140,Same Day,Delivered,2023-12-08
ORD10141,SHP9141,Same Day,In Transit,2023-03-04
ORD10142,SHP9142,Express,Delivered,2025-05-10
ORD10143,SHP9143,Express,Delivered,2025-05-04
ORD10144,SHP9144,Standard,Delivered,2024-03-24
ORD10145,SHP9145,Express,Delivered,2023-07-26
ORD10146,SHP9146,Standard,Delivered,2024-12-01
ORD10147,SHP9147,Same Day,Cancelled,2024-09-29
ORD10148,SHP9148,Standard,Delivered,2025-01-08
ORD10149,SHP9149,Same Day,Delivered,2023-07-23
ORD10150,SHP9150,Express,Delivered,2023-12-02
ORD10151,SHP9151,Express,Delivered,2024-01-01
ORD10152,SHP9152,Express,Delivered,2025-06-12
ORD10153,SHP9153,Standard,Delivered,2024-03-31
ORD10154,SHP9154,Same Day,Delivered,2023-12-25
ORD10155,SHP9155,Same Day,Delivered,2023-08-08
ORD10156,SHP9156,Same Day,Delivered,2024-07-14
ORD10157,SHP9157,Same Day,Delivered,2025-06-10
ORD10158,SHP9158,Same Day,Cancelled,2023-01-27
ORD10159,SHP9159,Standard,Delivered,2023-06-08
ORD10160,SHP9160,Same Day,Delivered,2023-07-06
ORD10161,SHP9161,Express,Delivered,2023-09-08
ORD10162,SHP9162,Same Day,Delivered,2025-01-20
ORD10163,SHP9163,Express,Delivered,2025-03-21
ORD10164,SHP9164,Standard,Delivered,2023-05-16
ORD10165,SHP9165,Standard,Delivered,2023-11-22
ORD10166,SHP9166,Express,Delivered,2024-01-30
ORD10167,SHP9167,Same Day,In Transit,2024-03-14
ORD10168,SHP9168,Standard,Delivered,2023-01-25
ORD10169,SHP9169,Standard,Delivered,2025-05-28
ORD10170,SHP9170,Standard,Delivered,2024-08-27
ORD10171,SHP9171,Same Day,Delivered,2024-10-27
ORD10172,SHP9172,Express,Delivered,2023-05-06
ORD10173,SHP9173,Express,Delivered,2023-03-24
ORD10174,SHP9174,Same Day,Delivered,2025-05-11
ORD10175,SHP9175,Standard,Delivered,2023-02-26
ORD10176,SHP9176,Same Day,Delivered,2025-01-01
ORD10177,SHP9177,Same Day,Delivered,2023-06-29
ORD10178,SHP9178,Express,In Transit,2025-05-20
ORD10179,SHP9179,Same Day,Delivered,2023-09-14
ORD10180,SHP9180,Same Day,Delivered,2023-09-04
ORD10181,SHP9181,Standard,Failed,2025-01-13
ORD10182,SHP9182,Standard,Delivered,2023-04-21
ORD10183,SHP9183,Express,Delivered,2023-07-18
ORD10184,SHP9184,Standard,Delivered,2023-11-15
ORD10185,SHP9185,Same Day,Delivered,2023-11-02
ORD10186,SHP9186,Same Day,Delivered,2024-07-06
ORD10187,SHP9187,Same Day,Delivered,2024-12-21
ORD10188,SHP9188,Express,Delivered,2025-02-23
ORD10189,SHP9189,Standard,Delivered,2023-09-27
ORD10190,SHP9190,Same Day,Delivered,2023-06-21
ORD10191,SHP9191,Standard,Delivered,2024-07-10
ORD10192,SHP9192,Standard,Delivered,2024-03-31
ORD10193,SHP9193,Standard,Delivered,2024-10-15
ORD10194,SHP9194,Standard,In Transit,2023-10-25
ORD10195,SHP9195,Express,Failed,2024-07-19
ORD10196,SHP9196,Express,Delivered,2025-03-12
ORD10197,SHP9197,Express,Delivered,2025-03-16
ORD10198,SHP9198,Same Day,Delivered,2023-05-27
ORD10199,SHP9199,Same Day,Delivered,2023-05-27
ORD10200,SHP9200,Same Day,Delivered,2024-03-03
ORD10201,SHP9201,Express,Delivered,2023-11-12
ORD10202,SHP9202,Standard,Delivered,2023-07-08
ORD10203,SHP9203,Express,Delivered,2024-10-31
ORD10204,SHP9204,Same Day,Delivered,2024-12-17
ORD10205,SHP9205,Same Day,Delivered,2023-05-13
ORD10206,SHP9206,Standard,Delivered,2023-10-16
ORD10207,SHP9207,Express,Delivered,2025-04-08
ORD10208,SHP9208,Standard,Delivered,2023-09-12
ORD10209,SHP9209,Express,Delivered,2025-02-20
ORD10210,SHP9210,Same Day,Delivered,2024-12-05
ORD10211,SHP9211,Standard,Delivered,2024-01-24
ORD10212,SHP9212,Standard,Delivered,2023-08-21
ORD10213,SHP9213,Express,Delivered,2023-10-03
ORD10214,SHP9214,Express,Delivered,2025-02-12
ORD10215,SHP9215,Express,Delivered,2025-03-27
ORD10216,SHP9216,Same Day,Delivered,2024-02-24
ORD10217,SHP9217,Express,Delivered,2023-07-22
ORD10218,SHP9218,Same Day,Delivered,2023-11-21
ORD10219,SHP9219,Express,Delivered,2023-02-26
ORD10220,SHP9220,Express,Delivered,2025-04-12
ORD10221,SHP9221,Same Day,Delivered,2023-07-25
ORD10222,SHP9222,Express,Delivered,2025-02-22
ORD10223,SHP9223,Same Day,Delivered,2024-09-17
ORD10224,SHP9224,Same Day,Delivered,2024-09-22
ORD10225,SHP9225,Express,In Transit,2024-08-30
ORD10226,SHP9226,Express,In Transit,2023-05-21
ORD10227,SHP9227,Standard,Delivered,2024-02-27
ORD10228,SHP9228,Express,Delivered,2025-03-26
ORD10229,SHP9229,Standard,Delivered,2023-03-03
ORD10230,SHP9230,Express,Delivered,2024-07-21
ORD10231,SHP9231,Same Day,Delivered,2023-03-16
ORD10232,SHP9232,Same Day,Delivered,2025-07-04
ORD10233,SHP9233,Standard,Delivered,2024-08-20
ORD10234,SHP9234,Express,Delivered,2024-01-11
ORD10235,SHP9235,Standard,Delivered,2024-09-13
ORD10236,SHP9236,Express,Delivered,2024-08-25
ORD10237,SHP9237,Express,Delivered,2024-05-30
ORD10238,SHP9238,Same Day,Delivered,2025-05-25
ORD10239,SHP9239,Standard,Delivered,2023-03-26
ORD10240,SHP9240,Same Day,Delivered,2023-02-17
ORD10241,SHP9241,Same Day,In Transit,2024-11-02
ORD10242,SHP9242,Same Day,Delivered,2025-04-21
ORD10243,SHP9243,Standard,In Transit,2024-09-01
ORD10244,SHP9244,Express,Delivered,2025-03-26
ORD10245,SHP9245,Express,Delivered,2023-05-16
ORD10246,SHP9246,Standard,Delivered,2024-02-04
ORD10247,SHP9247,Express,Delivered,2023-03-12
ORD10248,SHP9248,Standard,Delivered,2023-10-18
ORD10249,SHP9249,Standard,Delivered,2024-01-15
ORD10250,SHP9250,Express,Delivered,2025-02-11
ORD10251,SHP9251,Same Day,Delivered,2024-04-17
ORD10252,SHP9252,Standard,Delivered,2025-06-19
ORD10253,SHP9253,Standard,Delivered,2023-08-06
ORD10254,SHP9254,Standard,Delivered,2023-05-30
ORD10255,SHP9255,Standard,Delivered,2024-07-30
ORD10256,SHP9256,Express,Delivered,2024-04-16
ORD10257,SHP9257,Express,Delivered,2023-06-02
ORD10258,SHP9258,Standard,Delivered,2023-04-02
ORD10259,SHP9259,Same Day,Delivered,2023-11-22
ORD10260,SHP9260,Express,Delivered,2025-06-15
ORD10261,SHP9261,Same Day,Delivered,2024-02-05
ORD10262,SHP9262,Same Day,Delivered,2025-03-04
ORD10263,SHP9263,Standard,Delivered,2024-02-12
ORD10264,SHP9264,Express,Delivered,2023-03-26
ORD10265,SHP9265,Standard,Delivered,2024-10-05
ORD10266,SHP9266,Standard,Delivered,2023-10-19
ORD10267,SHP9267,Same Day,Delivered,2024-01-23
ORD10268,SHP9268,Same Day,Delivered,2025-05-15
ORD10269,SHP9269,Same Day,Delivered,2025-03-03
ORD10270,SHP9270,Standard,Cancelled,2023-09-30
ORD10271,SHP9271,Standard,Delivered,2023-10-25
ORD10272,SHP9272,Standard,Delivered,2024-03-29
ORD10273,SHP9273,Standard,Delivered,2024-12-19
ORD10274,SHP9274,Standard,Delivered,2023-01-30
ORD10275,SHP9275,Standard,Delivered,2025-05-14
ORD10276,SHP9276,Standard,Delivered,2023-11-13
ORD10277,SHP9277,Standard,In Transit,2024-04-09
ORD10278,SHP9278,Express,Delivered,2023-07-30
ORD10279,SHP9279,Express,Delivered,2025-03-07
ORD10280,SHP9280,Express,Delivered,2024-12-22
ORD10281,SHP9281,Express,Delivered,2024-10-28
ORD10282,SHP9282,Standard,Delivered,2024-03-17
ORD10283,SHP9283,Standard,Delivered,2024-06-22
ORD10284,SHP9284,Same Day,Delivered,2024-12-12
ORD10285,SHP9285,Same Day,Delivered,2023-12-08
ORD10286,SHP9286,Express,Delivered,2024-02-27
ORD10287,SHP9287,Same Day,Cancelled,2025-01-24
ORD10288,SHP9288,Express,Delivered,2023-11-20
ORD10289,SHP9289,Standard,Delivered,2024-05-14
ORD10290,SHP9290,Standard,Delivered,2024-08-11
ORD10291,SHP9291,Same Day,Delivered,2023-06-17
ORD10292,SHP9292,Standard,In Transit,2025-03-24
ORD10293,SHP9293,Standard,Delivered,2024-06-26
ORD10294,SHP9294,Express,Delivered,2023-06-15
ORD10295,SHP9295,Same Day,Delivered,2025-05-03
ORD10296,SHP9296,Standard,Delivered,2024-12-03
ORD10297,SHP9297,Same Day,Delivered,2024-07-22
ORD10298,SHP9298,Standard,Delivered,2023-10-25
ORD10299,SHP9299,Express,Delivered,2023-02-15
ORD10300,SHP9300,Standard,Delivered,2023-10-13
ORD10301,SHP9301,Same Day,Delivered,2024-01-23
ORD10302,SHP9302,Same Day,In Transit,2023-05-24
ORD10303,SHP9303,Express,Cancelled,2023-07-08
ORD10304,SHP9304,Standard,Delivered,2025-06-30
ORD10305,SHP9305,Express,In Transit,2024-12-20
ORD10306,SHP9306,Same Day,Delivered,2024-03-12
ORD10307,SHP9307,Express,Delivered,2024-07-08
ORD10308,SHP9308,Standard,Cancelled,2025-05-13
ORD10309,SHP9309,Standard,Delivered,2024-02-21
ORD10310,SHP9310,Express,Delivered,2025-03-11
ORD10311,SHP9311,Same Day,In Transit,2024-03-07
ORD10312,SHP9312,Same Day,Delivered,2024-02-22
ORD10313,SHP9313,Express,Delivered,2023-01-29
ORD10314,SHP9314,Standard,Delivered,2024-01-09
ORD10315,SHP9315,Standard,Delivered,2024-01-26
ORD10316,SHP9316,Standard,Delivered,2023-02-27
ORD10317,SHP9317,Standard,Delivered,2023-09-14
ORD10318,SHP9318,Same Day,Delivered,2024-09-30
ORD10319,SHP9319,Standard,Delivered,2023-04-22
ORD10320,SHP9320,Express,Delivered,2023-05-11
ORD10321,SHP9321,Express,Delivered,2025-05-04
ORD10322,SHP9322,Express,Delivered,2024-11-05
ORD10323,SHP9323,Express,Delivered,2024-01-17
ORD10324,SHP9324,Standard,Delivered,2025-01-14
ORD10325,SHP9325,Same Day,Failed,2023-11-05
ORD10326,SHP9326,Standard,Delivered,2023-04-06
ORD10327,SHP9327,Same Day,Cancelled,2024-01-31
ORD10328,SHP9328,Standard,Delivered,2024-06-21
ORD10329,SHP9329,Same Day,Delivered,2025-03-18
ORD10330,SHP9330,Express,Delivered,2023-04-26
ORD10331,SHP9331,Express,Delivered,2024-07-19
ORD10332,SHP9332,Same Day,Delivered,2024-10-06
ORD10333,SHP9333,Same Day,Delivered,2024-08-13
ORD10334,SHP9334,Same Day,Delivered,2023-12-09
ORD10335,SHP9335,Express,Delivered,2024-07-23
ORD10336,SHP9336,Express,Cancelled,2023-12-24
ORD10337,SHP9337,Standard,Delivered,2025-06-11
ORD10338,SHP9338,Same Day,Cancelled,2023-06-20
ORD10339,SHP9339,Same Day,Delivered,2024-07-14
ORD10340,SHP9340,Same Day,Delivered,2024-03-31
ORD10341,SHP9341,Express,Delivered,2025-06-26
ORD10342,SHP9342,Same Day,In Transit,2023-04-17
ORD10343,SHP9343,Same Day,Delivered,2023-06-05
ORD10344,SHP9344,Express,Delivered,2023-05-28
ORD10345,SHP9345,Same Day,Delivered,2024-12-22
ORD10346,SHP9346,Standard,Delivered,2025-05-29
ORD10347,SHP9347,Express,Delivered,2023-10-30
ORD10348,SHP9348,Express,Delivered,2023-06-22
ORD10349,SHP9349,Express,Delivered,2024-12-16
ORD10350,SHP9350,Standard,Delivered,2024-10-13
ORD10351,SHP9351,Express,In Transit,2024-12-26
ORD10352,SHP9352,Express,Delivered,2023-02-18
ORD10353,SHP9353,Express,Delivered,2024-10-03
ORD10354,SHP9354,Express,Cancelled,2023-08-29
ORD10355,SHP9355,Standard,Delivered,2023-01-12
ORD10356,SHP9356,Same Day,Delivered,2024-04-10
ORD10357,SHP9357,Same Day,In Transit,2024-03-30
ORD10358,SHP9358,Express,Delivered,2025-02-27
ORD10359,SHP9359,Standard,Delivered,2025-06-19
ORD10360,SHP9360,Express,Delivered,2024-01-12
ORD10361,SHP9361,Same Day,Delivered,2024-07-03
ORD10362,SHP9362,Same Day,Delivered,2024-05-03
ORD10363,SHP9363,Standard,Delivered,2023-08-05
ORD10364,SHP9364,Same Day,Delivered,2023-06-16
ORD10365,SHP9365,Express,In Transit,2023-05-09
ORD10366,SHP9366,Standard,Delivered,2023-12-07
ORD10367,SHP9367,Same Day,Delivered,2023-07-14
ORD10368,SHP9368,Express,Delivered,2025-01-03
ORD10369,SHP9369,Standard,In Transit,2023-08-06
ORD10370,SHP9370,Express,In Transit,2024-07-29
ORD10371,SHP9371,Same Day,In Transit,2023-11-25
ORD10372,SHP9372,Express,In Transit,2024-01-18
ORD10373,SHP9373,Standard,Delivered,2024-11-09
ORD10374,SHP9374,Express,Delivered,2024-08-04
ORD10375,SHP9375,Same Day,Delivered,2025-03-11
ORD10376,SHP9376,Standard,Delivered,2023-08-28
ORD10377,SHP9377,Standard,Delivered,2024-06-18
ORD10378,SHP9378,Same Day,Delivered,2024-12-05
ORD10379,SHP9379,Express,Delivered,2023-03-26
ORD10380,SHP9380,Express,Failed,2024-01-01
ORD10381,SHP9381,Same Day,Delivered,2024-05-25
ORD10382,SHP9382,Standard,Delivered,2023-07-25
ORD10383,SHP9383,Same Day,Delivered,2024-05-24
ORD10384,SHP9384,Standard,Delivered,2024-10-09
ORD10385,SHP9385,Standard,Delivered,2023-02-12
ORD10386,SHP9386,Express,Delivered,2024-10-09
ORD10387,SHP9387,Same Day,Delivered,2024-08-15
ORD10388,SHP9388,Standard,Delivered,2024-08-27
ORD10389,SHP9389,Express,Delivered,2024-02-09
ORD10390,SHP9390,Same Day,Delivered,2025-02-08
ORD10391,SHP9391,Same Day,Delivered,2025-05-09
ORD10392,SHP9392,Standard,Delivered,2024-12-11
ORD10393,SHP9393,Standard,Delivered,2023-06-30
ORD10394,SHP9394,Standard,Delivered,2024-06-30
ORD10395,SHP9395,Same Day,Delivered,2024-07-25
ORD10396,SHP9396,Standard,Delivered,2024-04-12
ORD10397,SHP9397,Same Day,Cancelled,2023-07-26
ORD10398,SHP9398,Express,Failed,2024-06-25
ORD10399,SHP9399,Same Day,Delivered,2024-07-04
ORD10400,SHP9400,Standard,Delivered,2024-10-03
ORD10401,SHP9401,Same Day,Delivered,2024-02-04
ORD10402,SHP9402,Standard,Delivered,2025-04-13
ORD10403,SHP9403,Express,Delivered,2023-02-13
ORD10404,SHP9404,Standard,Delivered,2024-08-22
ORD10405,SHP9405,Standard,Delivered,2024-02-03
ORD10406,SHP9406,Standard,Delivered,2024-12-01
ORD10407,SHP9407,Standard,Cancelled,2024-09-18
ORD10408,SHP9408,Standard,Delivered,2025-02-27
ORD10409,SHP9409,Standard,Delivered,2024-03-21
ORD10410,SHP9410,Express,Delivered,2025-04-20
ORD10411,SHP9411,Express,Delivered,2024-09-12
ORD10412,SHP9412,Same Day,Delivered,2024-05-26
ORD10413,SHP9413,Standard,Delivered,2023-11-19
ORD10414,SHP9414,Same Day,Delivered,2024-07-09
ORD10415,SHP9415,Express,Delivered,2023-08-09
ORD10416,SHP9416,Express,Delivered,2023-03-18
ORD10417,SHP9417,Standard,Delivered,2024-07-27
ORD10418,SHP9418,Standard,Delivered,2023-08-29
ORD10419,SHP9419,Same Day,Delivered,2023-10-10
ORD10420,SHP9420,Express,Delivered,2024-09-12
ORD10421,SHP9421,Same Day,Delivered,2025-06-26
ORD10422,SHP9422,Same Day,Delivered,2025-06-07
ORD10423,SHP9423,Same Day,Delivered,2023-06-16
ORD10424,SHP9424,Standard,Delivered,2023-07-14
ORD10425,SHP9425,Express,Delivered,2023-01-11
ORD10426,SHP9426,Same Day,Delivered,2023-03-05
ORD10427,SHP9427,Express,In Transit,2025-06-14
ORD10428,SHP9428,Express,Delivered,2025-04-02
ORD10429,SHP9429,Same Day,Delivered,2023-08-16
ORD10430,SHP9430,Same Day,Delivered,2025-03-30
ORD10431,SHP9431,Standard,In Transit,2024-12-05
ORD10432,SHP9432,Express,Failed,2024-08-10
ORD10433,SHP9433,Same Day,Delivered,2025-03-17
ORD10434,SHP9434,Same Day,Delivered,2023-10-18
ORD10435,SHP9435,Express,In Transit,2023-06-19
ORD10436,SHP9436,Same Day,Delivered,2023-03-08
ORD10437,SHP9437,Express,In Transit,2023-12-20
ORD10438,SHP9438,Same Day,Delivered,2024-03-22
ORD10439,SHP9439,Express,Failed,2023-01-16
ORD10440,SHP9440,Same Day,In Transit,2023-06-19
ORD10441,SHP9441,Same Day,Delivered,2024-02-27
ORD10442,SHP9442,Standard,Delivered,2025-01-27
ORD10443,SHP9443,Express,Delivered,2025-04-28
ORD10444,SHP9444,Standard,Delivered,2024-06-07
ORD10445,SHP9445,Same Day,Delivered,2024-10-29
ORD10446,SHP9446,Express,Delivered,2024-07-05
ORD10447,SHP9447,Express,Delivered,2024-07-17
ORD10448,SHP9448,Same Day,Cancelled,2024-08-24
ORD10449,SHP9449,Same Day,Delivered,2023-01-30
ORD10450,SHP9450,Same Day,Delivered,2024-12-11
ORD10451,SHP9451,Same Day,In Transit,2024-03-25
ORD10452,SHP9452,Express,In Transit,2023-08-01
ORD10453,SHP9453,Standard,Delivered,2024-04-17
ORD10454,SHP9454,Express,Delivered,2024-12-18
ORD10455,SHP9455,Express,In Transit,2025-04-01
ORD10456,SHP9456,Express,Delivered,2023-04-16
ORD10457,SHP9457,Express,Failed,2025-01-15
ORD10458,SHP9458,Same Day,Failed,2024-03-02
ORD10459,SHP9459,Standard,In Transit,2023-04-12
ORD10460,SHP9460,Express,Delivered,2024-06-30
ORD10461,SHP9461,Express,In Transit,2024-10-06
ORD10462,SHP9462,Standard,Delivered,2025-05-03
ORD10463,SHP9463,Same Day,Delivered,2024-06-08
ORD10464,SHP9464,Express,In Transit,2023-04-18
ORD10465,SHP9465,Same Day,Delivered,2024-11-10
ORD10466,SHP9466,Express,Delivered,2025-02-09
ORD10467,SHP9467,Express,In Transit,2025-03-21
ORD10468,SHP9468,Standard,In Transit,2023-10-07
ORD10469,SHP9469,Standard,In Transit,2023-03-08
ORD10470,SHP9470,Same Day,Delivered,2025-02-24
ORD10471,SHP9471,Express,Delivered,2025-06-19
ORD10472,SHP9472,Same Day,Delivered,2023-07-09
ORD10473,SHP9473,Standard,Delivered,2023-11-18
ORD10474,SHP9474,Standard,Delivered,2023-05-19
ORD10475,SHP9475,Standard,Delivered,2023-12-12
ORD10476,SHP9476,Standard,Delivered,2023-04-19
ORD10477,SHP9477,Standard,Cancelled,2024-07-04
ORD10478,SHP9478,Same Day,Delivered,2024-01-21
ORD10479,SHP9479,Same Day,Delivered,2023-04-22
ORD10480,SHP9480,Standard,Delivered,2024-07-04
ORD10481,SHP9481,Express,Delivered,2023-12-21
ORD10482,SHP9482,Express,Delivered,2025-01-14
ORD10483,SHP9483,Express,Delivered,2023-11-15
ORD10484,SHP9484,Express,Delivered,2023-09-28
ORD10485,SHP9485,Express,In Transit,2024-11-29
ORD10486,SHP9486,Standard,Delivered,2025-05-06
ORD10487,SHP9487,Same Day,Delivered,2023-03-11
ORD10488,SHP9488,Standard,Delivered,2023-12-03
ORD10489,SHP9489,Express,In Transit,2024-05-30
ORD10490,SHP9490,Express,Delivered,2023-05-18
ORD10491,SHP9491,Same Day,Failed,2024-08-15
ORD10492,SHP9492,Standard,Failed,2025-02-23
ORD10493,SHP9493,Same Day,Delivered,2025-01-28
ORD10494,SHP9494,Express,Delivered,2024-06-28
ORD10495,SHP9495,Express,Delivered,2025-01-05
ORD10496,SHP9496,Same Day,Cancelled,2024-06-22
